Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl
LLW,LLWT1,2021,Fall,7.2,8.16,14.1,911,721,69.8,533.3,0.62,0.01,0.005,0.49,0.005,1.2,0.86,433.73,0,85.18,17.78,64.82,3.82,107.02,3.97,6.12,0.2,0.02,0.13,0.285,1.38,0.11,0.68,0.31,17.86,0.001,0.95,3463.28,0.001,0.001,0.005,0.01,169.07,0.002,0.73
LLW,LLWT2,2021,Fall,9.3,8.07,14.2,1255,997,139.6,833,0.31,0.01,0.005,0.22,0.005,0.97,1.01,602.4,0,170.36,13.41,105.4,6.16,160.35,37.77,6.8,0.21,0.04,0.28,0.285,1.54,0.14,2.45,0.42,17.59,0.001,7.19,3283.03,0.001,0.001,0.01,0.01,59.04,0.002,1.27
LLW,LLWT3,2021,Fall,7.5,8.05,15.9,1261,1043,131.1,836.5,0.68,0.09,0.005,0.09,0.005,1.66,1.22,617.14,0,159.92,13.28,102.93,6.9,165.78,11.27,7.07,0.19,0.09,0.2,0.285,3.36,0.16,1.09,0.5,14.94,0.05,3.13,2884.2,0.001,0.001,0.005,0.01,90.96,0.002,0.91
ROL,ROL1,2021,Fall,,6.65,11.9,501,377,110.7,216.1,0.27,0.01,0.01,0.14,0.005,1.2,1.01,158.48,0,135.03,21.66,22.23,2.24,50,11.54,2.58,0.41,0.04,0.12,0.285,2.79,0.06,0.36,0.13,4.22,0.03,0.075,711.17,0.001,0.001,0.01,0.01,49.62,0.01,0.25
ROL,ROL2,2021,Fall,7.6,7.74,12.8,633,487,96.5,301.1,0.33,0.02,0.005,0.18,0.01,0.02,1.25,245.33,0,117.68,17.57,33.06,2.66,66.2,5.39,3.29,0.35,0.03,0.1,0.285,1.56,0.08,1.68,0.23,4.75,0.02,0.075,633.29,0.001,0.001,0.01,0.01,50.44,0.002,0.37
ROL,ROL3,2021,Fall,7.1,7.83,13.5,804,629,99,400,0.34,0.02,0.005,0.15,0.005,1.6,1.59,336.59,0,120.73,17.73,44.73,3.09,86.66,4.85,3.22,0.28,0.01,0.12,0.285,3.67,0.1,0.66,0.3,4.48,0.01,0.075,746.12,0.001,0.001,0.01,0.01,54.39,0.002,0.49
ROL,ROL4,2021,Fall,7.4,7.84,13.3,886,689,98.4,493.9,0.38,0.01,0.005,0.23,0.01,1.44,1.88,428.79,0,120.05,19.87,55.76,3.52,106.1,6.44,3.34,0.31,0.04,0.13,0.285,1.14,0.11,0.81,0.39,3.92,0.07,0.075,870.91,0.001,0.001,0.01,0.01,57.6,0.002,0.69
ROL,ROL5,2021,Fall,7.8,7.93,14.1,1029,817,103.1,551.2,0.34,0.01,0.01,0.21,0.01,1.28,2.05,476.95,0,125.78,20.72,62.32,3.79,118.26,8.81,3.34,0.33,0.05,0.11,0.285,1.43,0.12,0.9,0.4,3.55,0.05,0.075,963.06,0.001,0.001,0.01,0.01,53.34,0.002,0.67
ROL,ROL6,2021,Fall,6.4,7.96,13.7,1298,1019,110.6,788.7,0.59,0.03,0.005,0.35,0.01,1.49,3.83,649.6,0,134.98,10.2,94.36,4.93,160.71,3.62,3.71,0.25,0.07,0.18,23.46,25.5,0.19,1.33,0.67,4.33,0.13,0.075,837.5,0.001,0.001,0.01,0.01,52.8,0.002,1.39
ROL,ROLT1,2021,Fall,,7.51,12.9,425,327,142.7,159.3,0.28,0.01,0.01,0.16,0.005,0.94,0.78,88.68,0,174.09,30.94,13.89,1.94,40.97,25.54,3.53,0.41,0.03,0.12,0.285,2.08,0.05,0.41,0.025,15.01,0.001,0.075,1002.93,0.001,0.001,0.01,0.01,56.55,0.002,0.17
ROL,ROLT2,2021,Fall,8,7.93,14.6,1053,845,121.9,536.5,0.39,0.04,0.01,0.32,0.01,1.19,1.06,472.63,0,148.74,34.18,56.6,3.66,121.75,20.56,3.16,0.38,0.04,0.13,0.285,0.82,0.12,0.91,0.26,4.09,0.01,0.075,1385.19,0.001,0.001,0.01,0.01,52.03,0.002,0.4
SPC,SPC1,2021,Fall,9.5,8.57,12.5,501,382,171,165.6,0.25,0.04,0.02,0.12,0.03,1.25,5.21,95.69,0,208.57,62.21,15.08,2.15,41.53,21.07,4.98,0.3,0.11,0.09,7.05,2.52,0.06,0.52,0.025,3.6,0.32,1.41,410.89,0.001,0.001,0.005,0.01,70.6,0.002,0.23
