Stream,Site,pfines,ppebbles,psmallcobble,plargecobble,LCF,avgwetwidth,avgdepth,avgembedd,avgcancov,avg.slope,D.pca,Rip.pca,Season,do.mgl,temp.C,sc.uScm,hardness.mgl,npoc.mgl,nutrients.pca,elements.pca,PCNM4,PCNM2,PCNM1,PCNM5
ROL (H),ROL3,2.380952381,51.19047619,28.57142857,17.85714286,7.5,1.716666667,5.746666667,16.66666667,89.03,3.5,0.065701363,-1.257626886,Spring,9.9,11.2,665,324.9,1.1,0.571844097,1.051325711,1.520609131,-0.062735698,0.477608138,-0.80028347
ROL (H),ROL4,5.681818182,56.81818182,20.45454545,17.04545455,3,1.5,3.146666667,15,79.55,6.5,-1.741221806,-1.177397122,Spring,9.8,12.4,819,420.6,1.23,0.697013234,2.255470436,1.456099672,-0.064499683,0.477525996,-1.27731063
ROL (H),ROL5,9.523809524,60.71428571,9.523809524,20.23809524,2.125,0.693333333,2.026666667,12.33333333,68.37666667,6.33,-1.519338868,-0.548162454,Spring,9.8,14.2,954,515.4,1.21,0.609946977,3.24492591,1.399947225,-0.065714194,0.477482618,-1.5699467
ROL (H),ROL6,6.153846154,60,15.38461538,18.46153846,3,0.866666667,1.446666667,10,78.33333333,10.25,-1.160143974,-1.041660875,Spring,8.4,13.8,1244,730.6,1.51,-2.673838616,5.493994953,1.336353041,-0.066016092,0.477546812,-1.490591657
ROL (H),ROL7,9.333333333,74.66666667,10.66666667,5.333333333,0.571428571,0.866666667,1.02,9.666666667,84.76,14.5,-4.230355901,-0.709551367,Spring,10.8,10.5,1505,953.2,1.35,-4.646001473,6.882167776,1.284020792,-0.066154378,0.477608963,-1.383228861
SPC (L),SPC1,11.82795699,34.40860215,24.7311828,29.03225806,2.454545455,2.333333333,6.76,10.66666667,76.47666667,3.5,2.122330316,1.177941131,Spring,12.5,6.6,379,125.2,1.02,2.047264163,-0.304656463,0.090126233,-1.697804575,0.121159128,1.516059944
SPC (L),SPC2,10.98901099,36.26373626,23.07692308,29.67032967,2.7,3.95,5.12,11,74.68666667,3,0.997589036,1.6727373,Spring,12.7,7.5,396,129.9,1.02,2.312953342,-0.217548741,0.061578391,-1.697735338,0.120615299,1.007103694
SPC (L),SPC3,10.57692308,38.46153846,30.76923077,20.19230769,1.909090909,3.683333333,3.706666667,13.66666667,90.99,1.25,0.055721126,1.403055923,Spring,12.7,7.6,399,148.4,0.99,1.190937105,0.106387071,0.058044345,-1.697674497,0.120189138,0.538592739
SPC (L),SPC4,11.30434783,41.73913043,16.52173913,30.43478261,2.692307692,2.633333333,3.486666667,12.66666667,71.48666667,1.75,1.385865829,2.147026407,Spring,11.3,11.7,433,162.6,1.05,0.464491904,0.760675561,0.037582205,-1.697564459,0.119517746,-0.129235099
SPC (L),SPC5,4.87804878,40.6504065,26.82926829,27.64227642,5.666666667,2.1,4.966666667,16.66666667,85.58333333,2.25,2.33345928,-0.922271752,Spring,10.4,12.3,444,173.5,1.1,0.977062882,0.927399163,-0.013167542,-1.697470332,0.118994206,-0.505254498
SPC (L),SPC6,6.666666667,38.0952381,24.76190476,30.47619048,4.571428571,1.716666667,4.546666667,11.66666667,88.56333333,4.25,3.087924424,1.021528823,Spring,10.2,12.3,440,173.4,0.89,0.709512561,1.751123566,-0.062101999,-1.697349591,0.118379098,-0.981562159
SPC (L),SPC7,11.42857143,48.57142857,15.23809524,24.76190476,2.166666667,1.65,2.566666667,10.33333333,82.18,2.25,-1.101817651,1.680062975,Spring,10.7,11,403,147.9,0.98,0.468800289,-0.211261469,-0.085998361,-1.697244188,0.11788605,-1.417494024
SPC (L),SPC8,7.03125,69.53125,21.09375,2.34375,0.333333333,2,2.38,12.33333333,89.09,0.5,-1.328601608,0.542970453,Spring,10.6,10.5,427,160.7,0.95,0.341992322,0.589746454,6.68E-05,-1.689989723,-0.118862145,6.29E-07
CRO (R),CRO1,11.65048544,37.86407767,25.24271845,25.24271845,2.166666667,1.2,2.106666667,8,75.56333333,2.75,0.865420276,-0.292446995,Fall,7.4,16.1,79,30.9,1.43,-0.492081325,-1.868268436,,,,
CRO (R),CRO2,10.61946903,41.59292035,21.23893805,26.54867257,2.5,1.266666667,1.62,8.333333333,68.62666667,3.5,1.029803467,-0.749666249,Fall,7.4,14.9,76,32.2,1.58,-1.323596236,-2.012551656,,,,
CRO (R),CRO3,22.33009709,34.95145631,11.65048544,31.06796117,1.391304348,1.65,4.633333333,12.33333333,55.39666667,3,0.143899736,-1.031399809,Fall,8,14.7,77,35.9,2.03,-1.097703033,-1.611848917,,,,
CRO (R),CRO4,15.2173913,59.7826087,11.95652174,13.04347826,0.857142857,0.883333333,2.293333333,18.33333333,77.76333333,2.5,-3.770941332,-0.457671623,Fall,7.2,14.7,82,40.2,2.15,0.466327971,-1.336972914,,,,
CRO (R),CRO5,13.04347826,58.69565217,23.91304348,4.347826087,0.333333333,1.316666667,3.946666667,13.33333333,78.15666667,0.83,-2.717153108,-0.502917039,Fall,6.6,15.1,90,36,1.97,0.398774838,-0.968794843,,,,
CRO (R),CRO6,14.61538462,82.30769231,1.538461538,1.538461538,0.105263158,0.766666667,2.3,5.666666667,47.27333333,1,-5.357101888,-0.935778444,Fall,6.4,15.2,85,18.9,1.37,-0.500736328,-1.668110504,,,,
CRO (R),CRO7,17.58241758,54.94505495,18.68131868,8.791208791,0.5,1.083333333,0.606666667,8,89.52666667,2.5,-3.517412399,-0.673637634,Fall,8,15.5,51,29.2,1.7,0.211999168,-1.640761193,,,,
EAS (R),EAS2,6.097560976,36.58536585,32.92682927,24.3902439,4,1.276666667,4.966666667,14.33333333,73.3,5.5,2.920073879,-0.640538193,Fall,8.3,12.2,25,10.3,0.49,-1.295293528,-3.775337718,,,,
