"","Hshannon","Hsimpson","rich","J","rich.E","rich.P","rich.T","rich.C","rich.D","rich.less.E","rich.EPT","rich.T.less.H","pT.less.H","rich.EPT.less.H","pEPT.less.H","pEPT","pEPT.less.Cheum","pEPT.less.HBL","rich.PT","pE","rich.E.less.B","pE.less.B","pP","pP.less.Leuc","pP.less.Amph","pP.less.Allo","pP.less.LAA","pT","pPT.H","pChi","pD","pOligo","pChiO","p1dom","p2dom","p5dom","rich.SH","rich.CG","rich.SC","rich.SC.less.E","rich.CF","rich.PR","pSH","pCG","pSC","pSC.less.E","pCF","pPR","rich.Cling","pCling","rich.Burrow","pBurrow","rich.Sprawl","pSprawl","rich.Swimm","pSwimm","div.shan","div.simp","even.pielou","rich.INT","rich.TOL","pTOL","sc.uScm"
"pT.less.H",0.785714285714286,0.5,0.828862465679914,0.607142857142857,-0.159363814577919,0.218217890235992,0.545544725589981,0.216730361715753,0.486512772567328,0.872871560943969,0.355528564568432,0.56136089142384,1,0.532311746205405,-0.0714285714285714,-0.428571428571429,-0.428571428571429,-0.285714285714286,0.367111549107176,-0.178571428571429,-0.288675134594813,-0.178571428571429,-0.357142857142857,0.142857142857143,-0.357142857142857,-0.285714285714286,0,-0.107142857142857,0.392857142857143,0.178571428571429,0.821428571428571,-0.107142857142857,0.142857142857143,-0.321428571428571,-0.321428571428571,-0.321428571428571,0.788110406239101,0.542648861709712,0.168408267427152,0.327326835353989,0.333562192497496,-0.610785564835303,0.678571428571429,0.178571428571429,-0.107142857142857,-0.285714285714286,-0.107142857142857,-0.642857142857143,0.600099198148979,-0.607142857142857,0.18712029714128,0.642857142857143,-0.168408267427152,0.428571428571429,0.54804848586338,0.321428571428571,0.785714285714286,0.5,0.607142857142857,0.630656223886891,-0.288675134594813,-0.23643312187173,0.5
"rich.EPT.less.H",0.624089633482199,0.550667323660764,0.574172534596893,0.679156365848276,0.378815322047603,0.934620256820074,0.0841158231138066,-0.415180560066258,0.211577588231026,0.392540507864431,0.75975588501141,0.076937304811282,0.532311746205405,1,0.0734223098214352,-0.422178281473253,-0.422178281473253,0.201911352008947,0.443396226415094,0.275333661830382,0.074183183094877,0.275333661830382,-0.0550667323660764,-0.183555774553588,-0.0550667323660764,-0.14684461964287,-0.110133464732153,-0.440533858928611,0.256978084375023,0.165200197098229,0.532311746205405,0.183555774553588,0.385467126562535,0.422178281473253,0.422178281473253,0.422178281473253,0.658213083031873,0.721287232605769,-0.423155176462051,-0.420579115569033,0.0571454488319594,-0.141768971729942,0.550667323660764,-0.14684461964287,0.45888943638397,-0.0183555774553588,-0.440533858928611,-0.826000985491146,0.280386077046022,-0.183555774553588,0.298132056143718,0.550667323660764,0.134640283419744,0.0367111549107176,0.621622951908649,-0.110133464732153,0.624089633482199,0.550667323660764,0.679156365848276,0.388955587952734,0.074183183094877,0.0708844858649709,-0.0183555774553588
"pEPT.less.H",-0.285714285714286,-0.642857142857143,0.0540562477617335,-0.428571428571429,0.458170966911518,0.181848241863327,-0.763762615825973,-0.63048832499128,0.430376683424944,-0.109108945117996,-0.542648861709712,-0.580072921137968,-0.0714285714285714,0.0734223098214352,1,0.607142857142857,0.607142857142857,0.642857142857143,-0.752578675669711,0.785714285714286,0.866025403784439,0.785714285714286,0.928571428571429,-0.571428571428571,0.928571428571429,0.678571428571429,-0.642857142857143,-0.821428571428571,0.785714285714286,-0.5,-0.357142857142857,0.142857142857143,-0.25,0.178571428571429,0.178571428571429,0.178571428571429,0.354649682807595,0.486512772567328,-0.168408267427152,-0.163663417676994,-0.926561645826376,0.433460723431505,0.642857142857143,-0.964285714285714,0.607142857142857,-0.428571428571429,-0.821428571428571,-0.178571428571429,-0.709208143266975,0.178571428571429,0.56136089142384,-0.535714285714286,0.243256386283664,-0.285714285714286,-0.245676907455998,-0.0357142857142857,-0.285714285714286,-0.642857142857143,-0.428571428571429,-0.180187492539112,0.866025403784439,0.866921446863011,0.571428571428571
"pEPT",-0.821428571428571,-0.928571428571429,-0.504524979109513,-0.892857142857143,-0.0597614304667197,-0.327326835353989,-0.381881307912987,-0.295541402339663,-0.168408267427152,-0.563729549776314,-0.598784950852096,-0.205832326855408,-0.428571428571429,-0.422178281473253,0.607142857142857,1,1,0.607142857142857,-0.495600591294688,0.535714285714286,0.433012701892219,0.535714285714286,0.678571428571429,-0.0714285714285714,0.678571428571429,0.714285714285714,-0.107142857142857,-0.107142857142857,0.535714285714286,-0.75,-0.75,0.25,-0.535714285714286,0.25,0.25,0.25,-0.256135882027708,0.09356014857064,-0.243256386283664,-0.218217890235992,-0.518874521662771,0.197027601559775,0.107142857142857,-0.535714285714286,0.0357142857142857,-0.535714285714286,-0.107142857142857,0.285714285714286,-0.47280542884465,0.142857142857143,-0.09356014857064,-0.857142857142857,-0.09356014857064,0.25,-0.491353814911995,0.285714285714286,-0.821428571428571,-0.928571428571429,-0.892857142857143,-0.648674973140802,0.433012701892219,0.374352442963573,0.5
"pEPT.less.Cheum",-0.821428571428571,-0.928571428571429,-0.504524979109513,-0.892857142857143,-0.0597614304667197,-0.327326835353989,-0.381881307912987,-0.295541402339663,-0.168408267427152,-0.563729549776314,-0.598784950852096,-0.205832326855408,-0.428571428571429,-0.422178281473253,0.607142857142857,1,1,0.607142857142857,-0.495600591294688,0.535714285714286,0.433012701892219,0.535714285714286,0.678571428571429,-0.0714285714285714,0.678571428571429,0.714285714285714,-0.107142857142857,-0.107142857142857,0.535714285714286,-0.75,-0.75,0.25,-0.535714285714286,0.25,0.25,0.25,-0.256135882027708,0.09356014857064,-0.243256386283664,-0.218217890235992,-0.518874521662771,0.197027601559775,0.107142857142857,-0.535714285714286,0.0357142857142857,-0.535714285714286,-0.107142857142857,0.285714285714286,-0.47280542884465,0.142857142857143,-0.09356014857064,-0.857142857142857,-0.09356014857064,0.25,-0.491353814911995,0.285714285714286,-0.821428571428571,-0.928571428571429,-0.892857142857143,-0.648674973140802,0.433012701892219,0.374352442963573,0.5
"pEPT.less.HBL",-0.571428571428571,-0.607142857142857,-0.360374985078224,-0.357142857142857,0.597614304667197,0.327326835353989,-0.600099198148979,-0.374352442963573,-0.149696237713024,-0.563729549776314,-0.037424059428256,-0.542648861709712,-0.285714285714286,0.201911352008947,0.642857142857143,0.607142857142857,0.607142857142857,1,-0.367111549107176,0.964285714285714,0.577350269189626,0.964285714285714,0.571428571428571,-0.428571428571429,0.571428571428571,0.321428571428571,-0.321428571428571,-0.392857142857143,0.428571428571429,-0.321428571428571,-0.285714285714286,0.357142857142857,0,0.821428571428571,0.821428571428571,0.821428571428571,0.0788110406239101,0.598784950852096,-0.84204133713576,-0.818317088384971,-0.518874521662771,0.0788110406239101,0.214285714285714,-0.607142857142857,0.5,-0.571428571428571,-0.392857142857143,-0.392857142857143,-0.345511659540321,-0.142857142857143,0.018712029714128,-0.321428571428571,-0.149696237713024,-0.0714285714285714,0.170084012854152,0.357142857142857,-0.571428571428571,-0.607142857142857,-0.357142857142857,-0.720749970156447,0.577350269189626,0.39405520311955,0.321428571428571
"rich.PT",0.45888943638397,0.734223098214352,0.129651862650911,0.605734056026841,-0.470959589572696,0.271039874477821,0.813119623433464,0.273411588336316,-0.461623828867692,0.196270253932216,0.827076026721282,0.76937304811282,0.367111549107176,0.443396226415094,-0.752578675669711,-0.495600591294688,-0.495600591294688,-0.367111549107176,1,-0.495600591294688,-0.816015014043648,-0.495600591294688,-0.734223098214352,0.679156365848276,-0.734223098214352,-0.367111549107176,0.752578675669711,0.569022901116123,-0.293689239285741,0.128489042187512,0.45888943638397,-0.14684461964287,0.0550667323660764,0.0734223098214352,0.0734223098214352,0.0734223098214352,-0.0607581307414036,-0.0192343262028205,-0.134640283419744,-0.112154430818409,0.819084766591419,-0.577202242043335,-0.183555774553588,0.679156365848276,-0.495600591294688,0.091777887276794,0.569022901116123,-0.201911352008947,0.850504433706267,-0.201911352008947,-0.538561133678974,0.532311746205405,-0.355835034752179,0.569022901116123,0.359375769072188,0.091777887276794,0.45888943638397,0.734223098214352,0.605734056026841,0.31486880929507,-0.816015014043648,-0.77972934451468,-0.367111549107176
"pE",-0.428571428571429,-0.571428571428571,-0.180187492539112,-0.285714285714286,0.697216688778396,0.400066132099319,-0.709208143266975,-0.47286624374346,0.074848118856512,-0.400066132099319,-0.112272178284768,-0.636209010280352,-0.178571428571429,0.275333661830382,0.785714285714286,0.535714285714286,0.535714285714286,0.964285714285714,-0.495600591294688,1,0.721687836487032,1,0.678571428571429,-0.571428571428571,0.678571428571429,0.357142857142857,-0.5,-0.607142857142857,0.535714285714286,-0.285714285714286,-0.214285714285714,0.321428571428571,0.0357142857142857,0.714285714285714,0.714285714285714,0.714285714285714,0.256135882027708,0.673633069708608,-0.729769158850992,-0.709208143266975,-0.667124384994991,0.177324841403798,0.392857142857143,-0.75,0.642857142857143,-0.535714285714286,-0.607142857142857,-0.464285714285714,-0.454620604658317,-0.107142857142857,0.243256386283664,-0.285714285714286,-0.018712029714128,-0.214285714285714,0.170084012854152,0.25,-0.428571428571429,-0.571428571428571,-0.285714285714286,-0.558581226871247,0.721687836487032,0.571380044523348,0.392857142857143
"rich.E.less.B",-0.288675134594813,-0.577350269189626,0.0728219081254419,-0.433012701892219,0.724568837309472,0.293972367896066,-0.881917103688197,-0.716649814429432,0.529366374234268,-0.146986183948033,-0.453742606486515,-0.831861445225278,-0.288675134594813,0.074183183094877,0.866025403784439,0.433012701892219,0.433012701892219,0.577350269189626,-0.816015014043648,0.721687836487032,1,0.721687836487032,0.866025403784439,-0.866025403784439,0.866025403784439,0.433012701892219,-0.866025403784439,-0.866025403784439,0.433012701892219,-0.144337567297406,-0.433012701892219,0.433012701892219,0.144337567297406,0.288675134594813,0.288675134594813,0.288675134594813,0.318511028635303,0.378118838738763,-0.151247535495505,-0.220479275922049,-0.898717034272917,0.716649814429432,0.433012701892219,-0.866025403784439,0.866025403784439,0,-0.866025403784439,-0.144337567297406,-0.881917103688197,0.288675134594813,0.756237677477525,-0.433012701892219,0.60499014198202,-0.577350269189626,-0.152752523165195,-0.288675134594813,-0.288675134594813,-0.577350269189626,-0.433012701892219,-0.218465724376326,1,0.955533085905909,0.288675134594813
"pE.less.B",-0.428571428571429,-0.571428571428571,-0.180187492539112,-0.285714285714286,0.697216688778396,0.400066132099319,-0.709208143266975,-0.47286624374346,0.074848118856512,-0.400066132099319,-0.112272178284768,-0.636209010280352,-0.178571428571429,0.275333661830382,0.785714285714286,0.535714285714286,0.535714285714286,0.964285714285714,-0.495600591294688,1,0.721687836487032,1,0.678571428571429,-0.571428571428571,0.678571428571429,0.357142857142857,-0.5,-0.607142857142857,0.535714285714286,-0.285714285714286,-0.214285714285714,0.321428571428571,0.0357142857142857,0.714285714285714,0.714285714285714,0.714285714285714,0.256135882027708,0.673633069708608,-0.729769158850992,-0.709208143266975,-0.667124384994991,0.177324841403798,0.392857142857143,-0.75,0.642857142857143,-0.535714285714286,-0.607142857142857,-0.464285714285714,-0.454620604658317,-0.107142857142857,0.243256386283664,-0.285714285714286,-0.018712029714128,-0.214285714285714,0.170084012854152,0.25,-0.428571428571429,-0.571428571428571,-0.285714285714286,-0.558581226871247,0.721687836487032,0.571380044523348,0.392857142857143
"pP",-0.428571428571429,-0.678571428571429,-0.144149994031289,-0.571428571428571,0.358568582800318,0.145478593490662,-0.818317088384971,-0.768407646083123,0.261968415997792,-0.309142011167656,-0.598784950852096,-0.617496980566224,-0.357142857142857,-0.0550667323660764,0.928571428571429,0.678571428571429,0.678571428571429,0.571428571428571,-0.734223098214352,0.678571428571429,0.866025403784439,0.678571428571429,1,-0.5,1,0.821428571428571,-0.535714285714286,-0.75,0.642857142857143,-0.607142857142857,-0.642857142857143,0.142857142857143,-0.357142857142857,0.178571428571429,0.178571428571429,0.178571428571429,0.0788110406239101,0.224544356569536,-0.09356014857064,-0.163663417676994,-0.963624111659432,0.669893845303236,0.428571428571429,-0.964285714285714,0.571428571428571,-0.214285714285714,-0.75,0.107142857142857,-0.854686736757637,0.5,0.505224802281456,-0.75,0.37424059428256,-0.357142857142857,-0.510252038562457,-0.285714285714286,-0.428571428571429,-0.678571428571429,-0.571428571428571,-0.216224991046934,0.866025403784439,0.906326967174966,0.321428571428571
"pP.less.Leuc",0.0714285714285714,0.321428571428571,-0.270281238808668,0.178571428571429,-0.896421457000795,-0.363696483726654,0.709208143266975,0.47286624374346,-0.65492103999448,-0.0545544725589981,0.18712029714128,0.823329307421632,0.142857142857143,-0.183555774553588,-0.571428571428571,-0.0714285714285714,-0.0714285714285714,-0.428571428571429,0.679156365848276,-0.571428571428571,-0.866025403784439,-0.571428571428571,-0.5,1,-0.5,0.0714285714285714,0.964285714285714,0.75,-0.107142857142857,-0.357142857142857,0.107142857142857,-0.607142857142857,-0.607142857142857,-0.321428571428571,-0.321428571428571,-0.321428571428571,-0.47286624374346,-0.430376683424944,0.168408267427152,0.218217890235992,0.592999453328881,-0.571380044523348,-0.321428571428571,0.535714285714286,-0.928571428571429,-0.214285714285714,0.75,0.357142857142857,0.67283849489431,0,-0.804617277707504,0,-0.673633069708608,0.642857142857143,-0.245676907455998,0.214285714285714,0.0714285714285714,0.321428571428571,0.178571428571429,0.162168743285201,-0.866025403784439,-0.748704885927146,-0.178571428571429
"pP.less.Amph",-0.428571428571429,-0.678571428571429,-0.144149994031289,-0.571428571428571,0.358568582800318,0.145478593490662,-0.818317088384971,-0.768407646083123,0.261968415997792,-0.309142011167656,-0.598784950852096,-0.617496980566224,-0.357142857142857,-0.0550667323660764,0.928571428571429,0.678571428571429,0.678571428571429,0.571428571428571,-0.734223098214352,0.678571428571429,0.866025403784439,0.678571428571429,1,-0.5,1,0.821428571428571,-0.535714285714286,-0.75,0.642857142857143,-0.607142857142857,-0.642857142857143,0.142857142857143,-0.357142857142857,0.178571428571429,0.178571428571429,0.178571428571429,0.0788110406239101,0.224544356569536,-0.09356014857064,-0.163663417676994,-0.963624111659432,0.669893845303236,0.428571428571429,-0.964285714285714,0.571428571428571,-0.214285714285714,-0.75,0.107142857142857,-0.854686736757637,0.5,0.505224802281456,-0.75,0.37424059428256,-0.357142857142857,-0.510252038562457,-0.285714285714286,-0.428571428571429,-0.678571428571429,-0.571428571428571,-0.216224991046934,0.866025403784439,0.906326967174966,0.321428571428571
"pP.less.Allo",-0.392857142857143,-0.535714285714286,-0.270281238808668,-0.535714285714286,-0.199204768222399,-0.0363696483726654,-0.436435780471985,-0.63048832499128,-0.074848118856512,-0.327326835353989,-0.542648861709712,-0.130984207998896,-0.285714285714286,-0.14684461964287,0.678571428571429,0.714285714285714,0.714285714285714,0.321428571428571,-0.367111549107176,0.357142857142857,0.433012701892219,0.357142857142857,0.821428571428571,0.0714285714285714,0.821428571428571,1,0,-0.392857142857143,0.678571428571429,-0.928571428571429,-0.678571428571429,-0.178571428571429,-0.785714285714286,-0.0357142857142857,-0.0357142857142857,-0.0357142857142857,-0.177324841403798,-0.018712029714128,0.056136089142384,0,-0.704186850828046,0.433460723431505,0.321428571428571,-0.75,0.0714285714285714,-0.321428571428571,-0.392857142857143,0.357142857142857,-0.545544725589981,0.607142857142857,0.112272178284768,-0.857142857142857,0.074848118856512,0.0357142857142857,-0.755928946018455,-0.25,-0.392857142857143,-0.535714285714286,-0.535714285714286,-0.0720749970156447,0.433012701892219,0.571380044523348,0.25
"pP.less.LAA",0,0.357142857142857,-0.396412483586046,0.214285714285714,-0.776898596067356,-0.236402714422325,0.654653670707977,0.433460723431505,-0.804617277707504,-0.218217890235992,0.336816534854304,0.729769158850992,0,-0.110133464732153,-0.642857142857143,-0.107142857142857,-0.107142857142857,-0.321428571428571,0.752578675669711,-0.5,-0.866025403784439,-0.5,-0.535714285714286,0.964285714285714,-0.535714285714286,0,1,0.785714285714286,-0.25,-0.285714285714286,0.0714285714285714,-0.535714285714286,-0.5,-0.107142857142857,-0.107142857142857,-0.107142857142857,-0.571380044523348,-0.430376683424944,-0.018712029714128,0,0.630061919161936,-0.531974524211393,-0.464285714285714,0.571428571428571,-0.857142857142857,-0.142857142857143,0.785714285714286,0.321428571428571,0.67283849489431,0.0357142857142857,-0.879465396564016,0.0357142857142857,-0.673633069708608,0.571428571428571,-0.170084012854152,0.178571428571429,0,0.357142857142857,0.214285714285714,0.0360374985078224,-0.866025403784439,-0.788110406239101,-0.357142857142857
