START,END,Season,Stream.x,SIM.j,SIM.b,dis.simm
ROL5,ROL4,Fall,ROL (MI),0.894736842,0.933002567,310
ROL5,ROL6,Fall,ROL (MI),1,0.886984164,250
ROL6,ROL5,Fall,ROL (MI),1,0.886984164,250
SPC1,SPC2,Fall,SPC (MI),1,0.874256732,397
SPC1,SPC3,Fall,SPC (MI),1,0.918599371,794
SPC1,SPC4,Fall,SPC (MI),1,0.903816715,1280
SPC1,SPC5,Fall,SPC (MI),0.949152542,0.895228198,1635
SPC1,SPC7,Fall,SPC (MI),1,0.914135758,2410
SPC1,SPC8,Fall,SPC (MI),0.966101695,0.890271197,2550
SPC2,SPC1,Fall,SPC (MI),1,0.874256732,397
SPC2,SPC3,Fall,SPC (MI),1,0.929097818,397
SPC2,SPC4,Fall,SPC (MI),1,0.931832302,883
SPC2,SPC5,Fall,SPC (MI),0.949152542,0.919442743,1238
SPC2,SPC7,Fall,SPC (MI),1,0.929568935,2013
SPC2,SPC8,Fall,SPC (MI),0.966101695,0.893178438,2153
SPC3,SPC2,Fall,SPC (MI),1,0.929097818,397
SPC3,SPC4,Fall,SPC (MI),1,0.924030326,486
SPC3,SPC5,Fall,SPC (MI),0.949152542,0.923771112,841
SPC3,SPC7,Fall,SPC (MI),1,0.937387015,1616
SPC3,SPC8,Fall,SPC (MI),0.966101695,0.90414562,1756
SPC4,SPC3,Fall,SPC (MI),1,0.924030326,486
SPC4,SPC5,Fall,SPC (MI),0.949152542,0.908955194,355
SPC4,SPC7,Fall,SPC (MI),1,0.931721403,1130
SPC4,SPC8,Fall,SPC (MI),0.966101695,0.884170348,1270
SPC5,SPC4,Fall,SPC (MI),0.949152542,0.908955194,355
SPC5,SPC7,Fall,SPC (MI),0.949152542,0.911680987,775
SPC5,SPC8,Fall,SPC (MI),0.983050847,0.892532528,915
SPC7,SPC5,Fall,SPC (MI),0.949152542,0.911680987,775
SPC7,SPC8,Fall,SPC (MI),0.966101695,0.891812689,140
SPC8,SPC7,Fall,SPC (MI),0.966101695,0.891812689,140
CRO1,CRO2,Spring,CRO (R),0.966101695,0.917372528,150
CRO1,CRO3,Spring,CRO (R),1,0.907473574,520
CRO1,CRO4,Spring,CRO (R),0.966101695,0.904045575,1275
CRO1,CRO5,Spring,CRO (R),0.966101695,0.93539821,1275
CRO1,CRO6,Spring,CRO (R),0.966101695,0.877978653,1710
CRO1,CRO7,Spring,CRO (R),0.966101695,0.857350675,2050
CRO2,CRO1,Spring,CRO (R),0.966101695,0.917372528,150
CRO2,CRO3,Spring,CRO (R),0.966101695,0.933279886,370
CRO2,CRO4,Spring,CRO (R),1,0.887067791,740
CRO2,CRO5,Spring,CRO (R),1,0.904395569,1125
CRO2,CRO6,Spring,CRO (R),1,0.898747307,1560
CRO2,CRO7,Spring,CRO (R),1,0.827648317,1900
CRO3,CRO2,Spring,CRO (R),0.966101695,0.933279886,370
CRO3,CRO4,Spring,CRO (R),0.966101695,0.892795375,370
CRO3,CRO5,Spring,CRO (R),0.966101695,0.89363666,755
CRO3,CRO6,Spring,CRO (R),0.966101695,0.887189213,1190
