Stream,Stream_Type,dist.d,Site,Season,totind,Hshannon,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,rich.INT,rich.TOL,pTOL,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3.n.mgl,no2no3.n.mgl,ortho.po4.p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,Hsimpson.y,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov,avg.slope
CRO (R),Reference 1,775,CRO5,Spring,214,3.077490858,0.915582147,42,0.823371558,12,7,4,4,11,30,23,4,8.878504673,23,58.41121495,58.41121495,58.41121495,51.40186916,11,35.5,10,31.8,14,10.7,9.8,13.1,5.6,8.9,22.9,20.1,30.8,1.9,21.96261682,18.7,32.2,63.1,5,7,12,5,2,14,9.3,32.7,32.7,9.8,2.3,17.8,24,41.6,10,30.4,3,5.6,4,22,23,1,1.40187,10.7,7.26,10.2,53,38,18,20.8,0.27,0.02,0.03,0.07,0.005,1.18,1.03,9.17,0,21.9,1.84,2.12,1.03,4.85,0.55,3.96,0.38,0.06,0.03,23.59,11.38,0.06,0.21,0.26,17.01,0.001,0.075,26.52,0.001,0.001,0.005,0.01,21.85,0.002,0.01,2.287735849,0.418721461,10,2,68,12,10.86956522,73.91304348,13.04347826,2.173913043,0.2,1.2,2.08,5.6,8,32,64,64,90,2,56,0.900283554,1.316666667,3.946666667,13.33333333,5.666666667,6,10,10,10,10,78.15666667,0.83
CRO (R),Reference 1,340,CRO6,Spring,222,2.852441144,0.899237075,37,0.789949041,9,9,1,2,11,28,19,1,5.405405405,19,57.20720721,57.20720721,57.20720721,51.8018018,10,28.4,7,24.8,23.4,21.6,16.7,19.8,11.3,5.4,28.8,24.8,35.1,1.8,26.57657658,18,31.1,60.8,6,7,6,2,1,15,15.8,40.5,23,8.6,0.5,14.4,17,38.7,11,36.5,4,9.5,4,14.9,19,3,2.25225,9.9,7.15,10.4,50,36,12.5,15.6,0.65,0.02,0.04,0.11,0.005,1.21,1.3,9.29,0,15.3,1.88,1.73,1.05,3.4,0.45,4.29,0.32,0.04,0.04,41.04,15.28,0.07,0.26,0.54,15.56,0.001,0.075,21.28,0.001,0.001,0.005,0.01,18.06,0.002,0.01,1.965317919,0.607189542,19,1,109,1,14.61538462,83.84615385,0.769230769,0.769230769,0.052631579,0.052631579,2,4,5.6,11,22.6,32,32,2.909090909,17,0.882011834,0.766666667,2.3,5.666666667,7.333333333,7.333333333,10,10,10,10,47.27333333,1
CRO (R),Reference 1,0,CRO7,Spring,232,2.991073681,0.932149227,33,0.855446078,10,7,4,3,8,23,21,3,4.74137931,20,74.56896552,75.43103448,75.43103448,54.74137931,11,35.8,7,24.6,34.1,25.4,29.7,31.5,18.5,5.6,38.8,15.1,18.5,0.9,15.94827586,17.2,29.7,58.2,7,7,9,4,2,7,22.4,39.2,23.3,10.8,1.3,10.8,19,56,6,18.1,3,5.2,5,20.7,19,1,0.43103,10,7.09,9.8,43,30,15.7,12.2,0.39,0.01,0.04,0.23,0.005,0.79,0.94,8.82,0,19.12,1.59,1.45,0.92,2.51,0.24,4.07,0.37,0.03,0.05,6.78,2.9,0.03,0.13,0.12,24.25,0.001,0.075,16.97,0.001,0.001,0.005,0.01,14.4,0.002,0.01,1.731034483,0.461297071,11,3,62,15,12.08791209,68.13186813,16.48351648,3.296703297,0.272727273,1.363636364,2,2.8,8,22.6,64,90,90,3.982300885,56,0.913174737,1.083333333,0.606666667,8,5,8,10,10,10,10,89.52666667,2.5
EAS (R),Reference 2,2500,EAS1,Spring,200,2.606041172,0.8934,27,0.790706967,8,5,4,3,5,19,17,3,2,16,57.5,64.5,64.5,44.5,9,25.5,6,24,30,18.5,21,29.5,9,9,32,23,26,2.5,25.5,20,34.5,67.5,4,5,8,3,4,6,29,32.5,24.5,6.5,8.5,5.5,18,60.5,6,28.5,1,9,2,2,17,2,1,10.9,8.02,9.2,21,14,11.9,7.3,0.25,0.005,0.05,0.13,0.01,0.43,0.29,2.78,0,14.46,0.48,0.46,0.29,2.14,0.13,3.72,0.07,0.01,0.07,0.285,0.32,0.01,0.1,0.025,23.91,0.001,0.075,9.78,0.001,0.001,0.005,0.01,9.85,0.002,0.01,4.652173913,0.192254495,0,17,46,29,0,50,31.52173913,18.47826087,Inf,Inf,11,16,22.6,77,128,180,180,2.337662338,105.4,0.872164461,2.166666667,4.74,14.33333333,6.666666667,8,8.666666667,4,9.333333333,8,72.19666667,5
EAS (R),Reference 2,2140,EAS2,Spring,186,2.850654911,0.908891201,31,0.830129742,8,8,6,3,5,23,22,3,2.688172043,19,63.97849462,70.43010753,69.89247312,56.98924731,14,40.9,7,39.8,20.4,14.5,18.3,20.4,12.4,9.1,23.1,14,17.2,1.1,15.05376344,21.5,37.1,72.6,6,5,10,6,4,6,16.1,24.7,42.5,15.1,7,9.7,22,75.8,4,16.7,2,3.2,3,4.3,19,1,0.53763,11.1,7.5,9.3,22,15,13.3,8.1,0.27,0.01,0.04,0.17,0.01,0.42,0.39,2.72,0,16.21,0.48,0.47,0.28,2.48,0.15,3.61,0.09,0.02,0.05,0.285,0.27,0.01,0.07,0.025,24.44,0.001,0.075,10.45,0.001,0.01,0.005,0.01,9.55,0.002,0.02,5.276595745,0.167797656,5,12,41,24,6.097560976,50,29.26829268,14.63414634,2.4,4.8,11,16,22.6,64,90,128,180,2,67.4,0.885187388,1.276666667,4.966666667,14.33333333,8,7,9,10,10,10,73.3,5.5
EAS (R),Reference 2,1890,EAS3,Spring,213,2.829962938,0.916308493,28,0.849276486,9,6,4,3,5,19,19,2,1.877934272,17,56.33802817,62.44131455,62.44131455,50.23474178,10,41.8,7,39,12.7,9.4,10.8,12.7,7.5,8,14.6,17.8,21.1,0.5,18.30985915,18.8,32.4,63.4,4,7,8,5,4,5,7,32.4,43.2,19.2,8.5,8.9,17,70,4,19.7,2,2.3,5,8,18,0,0,10.6,7.42,9.5,18,13,9.4,6.3,0.27,0.02,0.005,0.17,0.005,0.51,0.3,2.64,0,11.44,0.48,0.44,0.29,1.78,0.15,3.89,0.08,0.01,0.04,0.285,0.3,0.01,0.07,0.025,22.65,0.001,0.075,8.25,0.001,0.001,0.005,0.01,8.86,0.002,0.01,4.045454545,0.230769231,3,12,30,21,4.545454545,45.45454545,31.81818182,18.18181818,4,7,8,11,16,77,128,180,180,2.337662338,112,0.885674931,2.66,4.933333333,15.33333333,8,7.666666667,10,10,10,10,85.98666667,5.25
EAS (R),Reference 2,1565,EAS4,Spring,211,2.974668384,0.927876732,32,0.858307865,10,9,6,3,3,22,25,4,3.317535545,23,68.2464455,72.98578199,72.98578199,58.29383886,15,40.3,8,35.1,24.6,19.9,20.9,24.2,15.6,8.1,28,16.6,17.5,0.9,17.53554502,19,32.7,64,7,7,9,5,3,6,19.9,37.9,29.9,10.4,5.7,6.6,24,68.7,2,17.5,2,4.3,4,9.5,22,0,0,10.7,7.14,9.6,17,12,7.8,5.5,0.35,0.02,0.005,0.2,0.005,0.51,0.26,2.46,0,9.49,0.47,0.41,0.29,1.53,0.14,4.41,0.04,0.005,0.03,0.285,0.34,0.01,0.09,0.025,22.95,0.001,0.075,7.49,0.001,0.001,0.005,0.01,8.86,0.002,0.01,3.731707317,0.259220232,5,4,67,35,4.504504505,60.36036036,31.53153153,3.603603604,0.8,7,8,11,16,45,90,128,128,2.844444444,74,0.895544193,1.366666667,1.566666667,15.33333333,7.666666667,6.666666667,10,10,10,10,80.43,8
EAS (R),Reference 2,1240,EAS5,Spring,209,2.800307043,0.915867311,27,0.849649772,8,10,3,2,3,19,21,2,1.913875598,20,64.11483254,72.72727273,72.72727273,49.76076555,13,37.3,6,30.6,24.9,17.2,20.6,22.5,10.5,10.5,26.8,18.7,21.1,0.5,19.13875598,19.1,33,64.6,6,7,6,3,2,6,21.5,38.3,24.4,6.2,9.6,6.2,18,61.7,4,21.5,1,4.3,4,12.4,21,0,0,10.7,7.01,9.8,16,11,6.6,5.1,0.33,0.01,0.03,0.19,0.005,0.55,0.26,2.36,0,8.02,0.48,0.39,0.29,1.4,0.16,4.99,0.02,0.005,0.04,0.285,0.47,0.01,0.11,0.025,22.76,0.001,0.075,7.2,0.001,0.001,0.005,0.01,8.84,0.002,5.00E-04,3.58974359,0.294264339,8,12,42,23,9.411764706,49.41176471,27.05882353,14.11764706,1.5,2.875,8,8,16,64,128,128,180,2,112,0.891349481,1.126666667,3.12,16.66666667,7.666666667,6.666666667,10,10,10,10,84.49666667,9.5
EAS (R),Reference 2,1000,EAS6,Spring,203,2.969439881,0.926302507,33,0.849258818,9,9,5,4,4,24,23,3,1.97044335,21,60.09852217,67.98029557,67.98029557,45.81280788,14,35,7,29.1,23.2,14.8,21.7,21.7,11.8,9.9,25.1,17.7,19.7,0.5,18.22660099,19.7,34,66.5,6,7,10,6,3,6,20.2,35.5,30.5,12.8,8.4,4.9,22,64,4,20.2,2,2.5,4,12.8,20,0,0,10.3,7.02,9.8,15,11,6.7,4.9,0.31,0.005,0.005,0.2,0.005,0.66,0.3,2.31,0,8.2,0.48,0.38,0.28,1.33,0.14,5.66,0.03,0.01,0.04,0.285,0.45,0.01,0.12,0.025,24.57,0.001,0.075,7.03,0.001,0.001,0.005,0.01,8.63,0.002,5.00E-04,3.5,0.281707317,7,8,34,22,9.85915493,47.88732394,30.98591549,11.26760563,1.142857143,3.142857143,5.6,11,16,64,128,128,180,2,112,0.88831581,1.6,7.806,16,8,8,10,10,10,10,78.55,12.83
EAS (R),Reference 2,715,EAS7,Spring,208,3.00914166,0.935882027,32,0.86825475,7,8,6,4,5,25,21,3,3.846153846,18,61.53846154,70.19230769,69.71153846,46.15384615,14,15.9,4,10.6,41.8,31.7,37.5,40.9,26.4,12.5,45.7,11.1,13.9,1.9,12.98076923,19.2,33.2,64.9,5,7,8,6,4,7,34.6,22.1,24,17.3,9.1,9.6,20,70.7,5,15.9,2,4.8,4,8.2,18,0,0,10.6,6.57,10,14,10,5.7,4.4,0.31,0.005,0.005,0.25,0.005,0.51,0.24,2.17,0,6.89,0.46,0.38,0.27,1.14,0.15,5.93,0.02,0.005,0.03,0.285,0.54,0.01,0.11,0.025,25.47,0.001,0.075,6.59,0.001,0.001,0.005,0.01,8.15,0.002,5.00E-04,3,0.314949202,11,5,43,20,13.92405063,54.43037975,25.3164557,6.329113924,0.454545455,1.818181818,2,5.6,8,45,90,128,128,2.844444444,82,0.903060407,1.49,4.593333333,14.33333333,7.333333333,7,10,10,10,10,78.37666667,14.5
EAS (R),Reference 2,385,EAS8,Spring,201,2.924784187,0.926016683,30,0.859927801,7,8,3,4,6,23,18,1,0.497512438,16,59.70149254,70.64676617,70.64676617,37.31343284,11,19.9,5,12.9,39.3,23.9,35.8,36.3,17.4,11.4,39.8,12.9,17.9,1.5,14.4278607,19.9,34.3,67.2,7,7,9,5,2,5,36.8,26.9,18.9,10.4,10.9,6,17,67.7,6,18.9,4,5.5,2,7,16,0,0,10.2,6.45,10.3,14,10,4.8,4.1,0.43,0.01,0.005,0.32,0.005,0.64,0.3,2.16,0,5.88,0.52,0.4,0.32,0.99,0.13,8.3,0.06,0.01,0.03,0.285,0.88,0.01,0.14,0.05,23.52,0.001,0.075,6.37,0.001,0.001,0.005,0.01,8.44,0.002,5.00E-04,2.475,0.367346939,15,16,39,25,15.78947368,41.05263158,26.31578947,16.84210526,1.066666667,1.666666667,2,2.848,8,64,128,180,180,2.8125,120,0.882437673,1.533333333,3.106666667,8,8.666666667,8.666666667,10,10,10,10,84.65666667,14
EAS (R),Reference 2,0,EAS9,Spring,204,2.457055421,0.872933487,27,0.745502742,7,7,4,2,5,20,18,4,1.960784314,18,72.54901961,72.54901961,72.54901961,48.52941176,11,6.9,6,5.4,63.7,41.2,52.5,59.8,26,2,65.7,18.6,21.1,1.5,20.09803922,19.6,33.8,66.2,7,6,7,4,1,5,59.8,24.5,7.4,4.9,0.5,6.9,16,62.3,5,22.1,2,11.8,3,2.9,16,0,0,10.4,6.2,9.3,14,10,4.3,4,0.55,0.01,0.005,0.41,0.005,0.54,0.27,1.96,0,5.29,0.49,0.4,0.32,0.95,0.15,8.88,0.02,0.01,0.03,0.285,0.98,0.01,0.15,0.09,23.05,0.001,0.075,5.91,0.001,0.001,0.01,0.01,9.34,0.002,5.00E-04,2.375,0.370510397,12,8,18,12,24,36,24,16,0.666666667,1,2,2,4.4,38.5,128,149.06,180,3.871688312,123.6,0.8624,0,0,0.333333333,8,9,10,10,10,10,87.06,27
FRY (MI),Mining Influenced 1,2785,FRY1,Spring,222,2.327105447,0.82598815,25,0.722955955,7,5,5,4,3,18,17,4,5.405405405,16,78.82882883,81.98198198,81.98198198,35.58558559,10,45,5,9,28.4,21.2,12.2,27.5,4.1,8.6,33.8,9.5,11.7,0.5,9.90990991,18,31.1,60.8,4,4,8,4,3,5,24.8,48.2,8.6,5.9,7.2,10.8,19,36,3,10.4,2,18,1,35.6,15,0,0,11.3,7.96,10,343,245,76,133.6,0.3,0.01,0.005,0.13,0.005,0.96,6,102.03,0,92.72,14.57,13.42,1.65,31.44,4.78,1.52,0.05,0.07,0.04,0.285,0.67,0.03,0.28,0.27,23.57,0.001,0.075,405.55,0.001,0.001,0.005,0.01,38.17,0.002,0.1,2.342771982,1.100409836,10,5,76,25,8.620689655,65.51724138,21.55172414,4.310344828,0.5,2.5,3.4,5.6,8,32,90,128,128,4,82,0.914090369,3.13,2.84,10,8.666666667,7.666666667,10,10,10,9.666666667,72.64666667,2.5
FRY (MI),Mining Influenced 1,2465,FRY2,Spring,202,2.495397984,0.865601412,27,0.757136377,9,6,4,4,3,18,19,3,8.415841584,18,77.72277228,80.1980198,80.1980198,38.11881188,10,40.6,7,11.4,28.7,18.3,16.8,28.7,6.4,10.9,37.1,13.4,14.4,0.5,13.86138614,19.8,34.2,66.8,5,6,8,4,3,5,24.8,47.5,7.4,5,9.9,10.4,19,42.6,3,14.4,2,12.9,3,30.2,17,0,0,11,7.87,10.2,346,248,74.4,132.4,0.86,0.02,0.03,0.15,0.005,1.25,5.95,100.21,0,90.72,13.91,13.32,1.69,31.12,4.19,1.93,0.16,0.1,0.04,0.285,0.77,0.03,0.31,0.4,25.12,0.001,0.075,375.24,0.001,0.01,0.005,0.01,37.18,0.002,0.11,2.336336336,1.104607584,5,13,59,20,5.154639175,60.82474227,20.6185567,13.40206186,2.6,4,7.04,11,16,45,128,128,180,2.844444444,112,0.899139122,2.15,4.633333333,11.66666667,9.666666667,8.333333333,10,8,10,9.333333333,59.32,4.5
FRY (MI),Mining Influenced 1,2170,FRY3,Spring,207,2.396437835,0.845994072,26,0.735533096,5,7,7,2,4,21,19,5,11.11111111,17,79.22705314,83.57487923,83.57487923,42.99516908,14,40.6,4,9.2,27.5,22.7,10.1,26.6,4.3,15.5,38.6,11.6,14.5,0,11.5942029,19.3,33.3,65.2,6,3,4,2,5,8,25.6,46.9,3.4,1.4,13,11.1,20,36.7,2,12.6,3,19.3,1,31.4,16,0,0,11.2,7.99,10.7,326,237,68.3,126.4,0.31,0.01,0.005,0.12,0.005,0.94,6.03,94.12,0,83.37,12.36,12.57,1.59,29.96,3.2,1.76,0.1,0.07,0.04,0.285,0.73,0.03,0.27,0.21,23.59,0.001,0.075,318.1,0.001,0.001,0.005,0.01,34.72,0.002,0.09,2.383452665,1.128943265,3,3,63,22,3.296703297,69.23076923,24.17582418,3.296703297,1,7.333333333,8,8,11,45,90,90,128,2,79,0.898683734,2.146666667,4.266666667,11,9.666666667,8,10,9.666666667,10,9.666666667,61.91666667,5
FRY (MI),Mining Influenced 1,1845,FRY4,Spring,217,2.154000345,0.821465735,21,0.707500237,4,6,4,3,3,17,14,2,4.147465438,12,82.02764977,87.09677419,86.6359447,29.95391705,10,37.3,3,5.1,40.6,20.7,25.3,38.7,3.7,9.2,44.7,7.8,8.8,0,7.834101382,18.4,31.8,62.2,6,3,4,3,3,5,39.2,42.4,4.6,3.7,8.8,5.1,14,41.9,3,8.8,3,17.1,1,32.3,12,0,0,12,8.04,11.5,325,241,65.7,127.4,0.29,0.01,0.005,0.11,0.005,1.16,6.12,95.1,0,80.11,11.9,12.74,1.6,30.07,3.28,2.23,0.11,0.08,0.05,0.285,1.15,0.03,0.28,0.23,22.22,0.001,0.075,316.29,0.001,0.001,0.005,0.01,33.16,0.002,0.09,2.360282575,1.187117713,3,5,73,21,2.941176471,71.56862745,20.58823529,4.901960784,1.666666667,7,8,11,16,45,83.5,90,128,2,67.5,0.904075356,2.716666667,3.833333333,9,7.333333333,9,10,10,10,10,72.04666667,4.25
FRY (MI),Mining Influenced 1,1480,FRY5,Spring,199,2.185945735,0.826645792,23,0.697161463,6,7,4,1,5,17,17,2,2.010050251,15,79.89949749,81.40703518,80.90452261,30.15075377,11,41.7,5,10.1,36.2,18.1,25.6,36.2,7.5,3.5,38.2,15.1,18.1,0,15.07537688,20.1,34.7,67.8,5,4,4,2,3,7,33.2,54.3,2.5,1.5,2.5,7.5,15,37.2,3,16.1,3,14.1,2,32.7,15,0,0,11.1,8.03,12.9,312,240,60.7,121.6,0.25,0.005,0.005,0.12,0.005,0.94,6.28,92.61,0,74.1,10.91,12.26,1.53,28.52,3.24,2.74,0.09,0.08,0.04,0.285,1.05,0.03,0.24,0.54,24.23,0.001,0.075,288.04,0.001,0.001,0.005,0.01,30.91,0.002,0.09,2.326264274,1.249797571,1,8,64,23,1.041666667,66.66666667,23.95833333,8.333333333,8,23,5.6,8,11,45,90,128,128,2.844444444,79,0.903428819,1.853333333,9.633333333,7.333333333,5.666666667,5.666666667,10,6.666666667,10,9,84.22333333,5
FRY (MI),Mining Influenced 1,1030,FRY6,Spring,209,2.413881341,0.867333623,24,0.759547028,5,6,5,3,3,19,16,3,4.784688995,14,79.42583732,82.29665072,82.29665072,35.40669856,11,34.9,4,14.8,39.7,15.8,30.1,37.8,4.3,7.7,44.5,11,13.9,0.5,11.48325359,19.1,33,64.6,5,4,6,3,3,6,39.2,40.7,8.6,2.9,6.2,5.3,17,55.5,4,13.4,2,11,1,20.1,11,0,0,10.6,8.26,13.7,309,243,54.2,124.6,0.29,0.01,0.005,0.15,0.005,0.9,6.63,95.78,0,66.1,8.91,12.7,1.59,29.01,2.89,3.39,0.08,0.09,0.04,0.285,0.94,0.03,0.25,0.19,21.07,0.001,0.075,269.56,0.001,0.001,0.005,0.01,29.91,0.002,0.07,2.284251969,1.449016641,5,7,72,12,5.208333333,75,12.5,7.291666667,1.4,2.4,4,5.6,8,16,64,90,128,5.625,56,0.914713542,3.25,3.586666667,11.33333333,5.666666667,6.666666667,10,10,10,10,88.24666667,6
FRY (MI),Mining Influenced 1,690,FRY7,Spring,216,2.207920858,0.807098765,24,0.694739918,5,7,4,3,3,19,16,3,4.166666667,15,79.16666667,81.94444444,81.94444444,34.25925926,11,60.6,4,22.7,14.4,7.4,12.5,13.9,5.1,6.9,18.5,12,13.9,0.5,12.5,18.5,31.9,62.5,4,4,6,4,2,7,9.7,65.7,9.3,4.2,4.2,10.6,18,45.8,3,13,2,3.2,1,38,13,0,0,10.4,8.05,13,128,99,35,38.9,0.32,0.005,0.005,0.16,0.01,0.96,9.13,14.85,0,42.68,8.29,3.53,1.15,9.74,0.43,3.64,0.13,0.12,0.03,0.285,0.76,0.02,0.23,0.58,25.4,0.001,0.075,74.82,0.001,0.001,0.005,0.01,25.5,0.002,0.01,2.759206799,0.347938144,4,10,72,19,3.80952381,68.57142857,18.0952381,9.523809524,2.5,4.75,5.6,8,11,32,90,128,128,4,79,0.913560091,1.85,2.866666667,9.666666667,9,7.333333333,10,10,10,10,79.28,5
FRY (MI),Mining Influenced 1,360,FRY8,Spring,193,2.655316167,0.903970576,24,0.835516422,6,6,4,3,4,18,16,3,5.18134715,15,66.32124352,70.98445596,70.98445596,44.04145078,10,41.5,5,26.4,19.7,12.4,12.4,19.2,4.7,9.8,24.9,16.6,23.3,1.6,18.13471503,20.7,35.8,69.9,5,5,6,4,2,5,18.1,48.7,13,5.2,7.3,11.9,17,54.4,3,18.7,2,11.4,2,15.5,13,0,0,10.4,7.89,13,120,93,31.9,36.2,0.52,0.005,0.005,0.18,0.005,0.9,8.73,14.22,0,38.94,7.69,3.35,1.09,9.01,0.43,3.7,0.14,0.11,0.02,0.285,0.54,0.02,0.11,0.1,21.08,0.001,0.075,74.69,0.001,0.001,0.005,0.01,25.2,0.002,0.01,2.689552239,0.365177196,3,9,66,23,2.97029703,65.34653465,22.77227723,8.910891089,3,7.666666667,5.6,8,11,45,90,128,128,2.844444444,79,0.911283208,1.48,3.333333333,9.333333333,4.333333333,7,10,10,10,10,84.43,5.5
FRY (MI),Mining Influenced 1,0,FRY9,Spring,203,2.802156774,0.90324929,30,0.823873612,8,8,3,4,6,22,19,2,1.477832512,18,50.73891626,51.23152709,51.23152709,44.33497537,11,31.5,6,27.1,17.7,15.8,15.8,16.3,12.3,2,19.2,23.2,34,1,24.13793103,19.7,34,66.5,5,7,8,6,1,7,14.3,48.3,22.7,16.7,0.5,12.8,18,55.2,4,26.6,2,5.4,5,11.8,18,0,0,10,7.61,12.3,61,46,25.9,16.9,0.34,0.01,0.005,0.24,0.005,0.76,3.51,10.26,0,31.57,3.91,1.83,1.02,3.76,0.29,2.99,0.16,0.04,0.01,0.285,0.43,0.01,0.12,0.09,24.81,0.001,0.075,35.46,0.001,0.001,0.005,0.01,18.45,0.002,5.00E-04,2.054644809,0.324992081,10,12,41,18,12.34567901,50.61728395,22.22222222,14.81481481,1.2,1.8,2,5.6,11,22.6,128,128,180,5.663716814,117,0.900167657,1.783333333,7.766666667,5.333333333,6.333333333,6.666666667,10,9.333333333,10,9.333333333,49.61666667,10
LLW (MI),Mining Influenced 2,1950,LLW1,Spring,212,2.448038067,0.868992524,24,0.770294714,3,5,3,5,7,21,11,2,3.301886792,10,52.35849057,56.60377358,56.60377358,29.24528302,8,6.1,1,0.5,42.9,25.5,28.3,34.4,2.4,7.5,46.2,25,32.5,0.9,25.94339623,18.9,32.5,63.7,4,5,5,5,3,7,41.5,32.1,9.9,9.9,7.5,9,16,49.1,4,27.4,2,17.9,2,5.7,10,1,0.9434,11.5,8.47,9.2,907,635,100.2,472.5,0.28,0.005,0.005,0.23,0.005,1.92,0.83,420.29,0,122.2,7.42,58.64,4.08,92.83,14.64,3.44,0.1,0.04,0.08,0.285,0.69,0.08,1.08,0.5,15.78,0.001,2.95,1790.98,0.001,0.001,0.01,0.01,42.05,0.002,0.72,1.583049113,3.439361702,5,8,72,24,4.587155963,66.05504587,22.01834862,7.339449541,1.6,4.8,8,11,16,45,90,128,128,2.844444444,74,0.900765929,2.233333333,5.5,16.66666667,4.333333333,5.333333333,2,5.666666667,6,7.666666667,91.6,4
LLW (MI),Mining Influenced 2,1400,LLW2,Spring,238,2.340523184,0.832956712,26,0.718371342,4,6,6,4,4,22,16,4,2.941176471,14,45.37815126,50,50,25.21008403,12,7.6,2,1.3,34.9,21,18.9,32.4,2.5,7.6,37.8,33.6,40.3,0.8,34.45378151,16.8,29,56.7,5,4,7,5,4,6,33.6,40.8,10.1,8.8,5.9,9.7,19,39.9,3,34.9,2,18.9,2,6.3,14,0,0,11.1,8.49,10.9,927,679,104.6,491.9,0.34,0.005,0.005,0.22,0.005,1.41,0.88,435.83,0,127.61,7.65,60.37,4.33,97.77,15.31,3.86,0.05,0.03,0.07,0.285,0.91,0.08,1.24,0.46,15.74,0.001,3.09,1869.94,0.001,0.001,0.01,0.01,41.61,0.002,0.68,1.619513003,3.415327952,7,9,52,30,7.142857143,53.06122449,30.6122449,9.183673469,1.285714286,4.285714286,5.6,9.56,11,64,90,128,128,2,79,0.895251978,2.033333333,5.393333333,15.66666667,7,6.666666667,10,3.333333333,10,6.666666667,91.4,2.75
LLW (MI),Mining Influenced 2,1140,LLW3,Spring,225,1.773519108,0.742755556,18,0.613595501,4,5,2,3,4,14,11,0,0,9,50.22222222,53.77777778,53.77777778,17.77777778,7,5.3,2,0.9,44.9,16.9,31.1,43.1,1.3,3.6,44.9,39.6,43.6,0,39.55555556,17.8,30.7,60,4,5,3,3,3,3,44.4,44.9,2.7,2.7,4.9,3.1,12,40,1,39.6,2,15.6,3,4.9,10,1,1.33333,10.3,8.42,12.3,1062,805,123.5,573,0.33,0.01,0.005,0.19,0.005,1.8,0.88,504.38,0,150.65,8.33,70.15,5.1,114.14,19.04,4.28,0.05,0.03,0.07,0.285,0.98,0.09,1.57,0.48,2.87,0.001,4.12,2104.85,0.001,0.001,0.01,0.01,38.65,0.002,0.76,1.627084818,3.348025224,9,6,63,23,8.910891089,62.37623762,22.77227723,5.940594059,0.666666667,2.555555556,5.6,11,16,45,90,128,128,2.844444444,74,0.897363004,2.266666667,8.54,15,5,6.333333333,10,5.333333333,10,7.666666667,91.32,11.25
LLW (MI),Mining Influenced 2,640,LLW4,Spring,200,1.916530053,0.78765,17,0.676451019,2,5,2,2,5,15,9,1,2.5,8,59,63.5,63.5,25,7,3,0,0,53.5,22.5,34,52,1.5,7,56,27,32,1,28,20,34.5,67.5,5,4,2,2,2,4,53.5,31,3.5,3.5,7,5,10,48,3,28.5,2,20.5,2,3,7,1,2.5,10.8,8.37,11.9,1105,828,128.2,595,0.29,0.005,0.005,0.16,0.005,1.85,0.94,538.6,0,156.4,8.59,72.27,5.36,119.48,20.35,4.73,0.06,0.02,0.08,0.285,0.81,0.1,1.85,0.51,23.99,0.001,4.34,2220.17,0.001,0.001,0.01,0.01,37.82,0.002,0.83,1.653244777,3.443734015,5,13,67,29,4.385964912,58.77192982,25.43859649,11.40350877,2.6,5.8,5.6,11,11,45,90,128,180,2.844444444,79,0.907663897,1.566666667,5.28,13,8.666666667,8.333333333,10,4,10,7.333333333,83.4,5.5
