Stream,Stream_Type,dist.d,Site,Season,Hshannon.mac,rich,rich.E,rich.EPT,pEPT.less.H,pEPT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Amph,pT,pPT.H,pChi,pD,pChiO,p1dom,p5dom,rich.SC,pPR,rich.Cling,pCling,pSprawl,pSwimm,ph,temp.C,sc.uScm,no2no3.n.mgl,npoc.mgl,na.mgl,ca.mgl,fe.ugl,ni.ugl,as.ugl,se.ugl,ba.ugl,u.ugl,ca.mg,pfines,D16,D90,Hsimpson.peb,avgwetwidth,avgembedd,avgvegprotecL,avgvegprotecR,avg.slope
LLW (MI),Mining Influenced 2,1140,LLW3,Fall,2.394487241,27,2,12,17.88990826,65.59633028,2.3,0,0,14.2,14.2,49.1,15.6,5.5,12.4,6.422018349,18.3,61.9,7,4.6,18,88.1,1.8,0.9,8.14,13.6,1307,0.21,1.19,12.8,161.18,0.285,1.47,0.03,5.04,67.55,1.8,1.396828148,8.910891089,11,128,0.897363004,2.266666667,15,10,7.666666667,11.25
LLW (MI),Mining Influenced 2,640,LLW4,Fall,2.431872498,22,1,9,31.73913043,61.73913043,20.9,0,0,5.2,5.2,35.7,10.9,5.7,9.6,6.52173913,17.4,58.7,5,5.2,14,69.1,0.9,20.9,7.97,14.5,1323,0.29,1.1,12.92,162.05,0.285,1.88,0.001,4.34,61.8,1.76,1.391703882,4.385964912,11,180,0.907663897,1.566666667,13,10,7.333333333,5.5
LLW (MI),Mining Influenced 2,390,LLW5,Fall,1.958054932,17,0,8,7.5,54.5,0,0,0,5,5,49.5,7.5,9,26,10.5,20,67.5,3,4,9,73,1.5,3,8.03,15,1501,0.18,1.34,12.92,180.37,0.285,1.18,0.01,2.81,61.92,2.71,1.219705166,4.807692308,8,116.6,0.909763314,1.8,13.66666667,10,10,6.5
LLW (MI),Mining Influenced 2,0,LLW6,Fall,1.747967212,20,1,10,7.042253521,39.90610329,0.5,1,0.5,2.3,2.3,37.1,6.6,9.4,55.9,12.20657277,18.8,63.4,3,5.6,12,42.3,0.9,0.9,7.97,15.6,1880,0.17,1.42,13.89,234.85,0.285,2.22,0.01,2.25,37.05,4.42,1.191889972,0,11,174.8,0.899653979,1.333333333,11.33333333,10,10,16
ROL (MI),Mining Influenced 3,1295,ROL1,Fall,1.991655968,20,3,10,18.18181818,65.65656566,3,3,3,13.6,13.6,49,15.2,6.1,19.2,7.070707071,20.2,68.2,7,2.5,13,76.8,2.5,0.5,6.65,11.9,501,0.14,1.2,21.66,50,0.285,0.36,0.03,0.075,49.62,0.25,2.249212776,2.631578947,11,128,0.889542936,2.533333333,17,10,10,11.5
ROL (MI),Mining Influenced 3,1155,ROL2,Fall,2.269844291,20,1,11,16.74641148,62.20095694,1.9,1,1.9,7.7,7.7,52.6,14.8,1.9,10,10.04784689,19.1,64.6,5,4.3,13,79.4,3.3,0,7.74,12.8,633,0.18,0.02,17.57,66.2,0.285,1.68,0.02,0.075,50.44,0.37,2.002419843,2.298850575,8,128,0.912934337,3.266666667,16.33333333,10,10,3
ROL (MI),Mining Influenced 3,955,ROL3,Fall,2.66395825,27,3,15,17.27272727,45.90909091,1.8,3,1.8,10.9,10.9,33.2,15.5,3.2,18.2,11.81818182,18.2,61.4,8,9.5,18,65.9,3.2,0.5,7.83,13.5,804,0.15,1.6,17.73,86.66,0.285,0.66,0.01,0.075,54.39,0.49,1.937402191,1.19047619,11,128,0.895408163,1.716666667,16.66666667,10,10,3.5
ROL (MI),Mining Influenced 3,560,ROL4,Fall,2.395631491,25,1,13,21.9047619,53.80952381,0.5,1,0.5,13.8,13.8,39.5,21.4,12.4,24.3,24.76190476,19,64.3,5,11,14,56.7,4.8,1.4,7.84,13.3,886,0.23,1.44,19.87,106.1,0.285,0.81,0.07,0.075,57.6,0.69,1.902797704,4.545454545,8,128,0.903409091,1.5,15,10,10,6.5
ROL (MI),Mining Influenced 3,250,ROL5,Fall,2.225415566,22,0,12,21.21212121,59.09090909,0,0,0,10.1,10.1,49,21.2,9.1,18.7,23.73737374,20.2,68.2,3,7.6,14,61.6,5.1,0,7.93,14.1,1029,0.21,1.28,20.72,118.26,0.285,0.9,0.05,0.075,53.34,0.67,1.89762516,5.952380952,8,128,0.905612245,0.693333333,12.33333333,10,10,6.33
ROL (MI),Mining Influenced 3,0,ROL6,Fall,2.195912313,19,0,10,30.41237113,67.5257732,0,0,0,18.6,18.6,49,30.4,14.9,26.3,15.46391753,20.6,69.6,4,4.6,10,60.8,12.4,0,7.96,13.7,1298,0.35,1.49,10.2,160.71,23.46,1.33,0.13,0.075,52.8,1.39,1.703158118,6.153846154,8,180,0.911242604,0.866666667,10,10,10,10.25
