START,END,dis.simm,Stream
EAS-3,EAS-5,580,EAS (R)
EAS-3,EAS-6,900,EAS (R)
EAS-3,EAS-7,1245,EAS (R)
EAS-3,EAS-8,1530,EAS (R)
EAS-4,EAS-3,255,EAS (R)
EAS-4,EAS-4,0,EAS (R)
EAS-4,EAS-5,325,EAS (R)
EAS-4,EAS-6,645,EAS (R)
EAS-4,EAS-7,990,EAS (R)
EAS-4,EAS-8,1275,EAS (R)
EAS-5,EAS-4,325,EAS (R)
EAS-5,EAS-5,0,EAS (R)
EAS-5,EAS-6,320,EAS (R)
EAS-5,EAS-7,665,EAS (R)
EAS-5,EAS-8,950,EAS (R)
EAS-6,EAS-5,320,EAS (R)
EAS-6,EAS-6,0,EAS (R)
EAS-6,EAS-7,345,EAS (R)
EAS-6,EAS-8,630,EAS (R)
EAS-7,EAS-6,345,EAS (R)
EAS-7,EAS-7,0,EAS (R)
EAS-7,EAS-8,285,EAS (R)
EAS-8,EAS-7,285,EAS (R)
EAS-8,EAS-8,0,EAS (R)
FRY-1,FRY-1,0,FRY (MN-G)
FRY-1,FRY-2,330,FRY (MN-G)
FRY-1,FRY-3,735,FRY (MN-G)
FRY-1,FRY-4,1155,FRY (MN-G)
FRY-1,FRY-5,1480,FRY (MN-G)
FRY-1,FRY-6,1765,FRY (MN-G)
FRY-1,FRY-7,2080,FRY (MN-G)
FRY-1,FRY-8,2215,FRY (MN-G)
FRY-2,FRY-1,330,FRY (MN-G)
FRY-2,FRY-2,0,FRY (MN-G)
FRY-2,FRY-3,405,FRY (MN-G)
FRY-2,FRY-4,825,FRY (MN-G)
FRY-2,FRY-5,1150,FRY (MN-G)
FRY-2,FRY-6,1750,FRY (MN-G)
FRY-2,FRY-7,1750,FRY (MN-G)
FRY-2,FRY-8,1885,FRY (MN-G)
FRY-3,FRY-2,405,FRY (MN-G)
FRY-3,FRY-3,0,FRY (MN-G)
FRY-3,FRY-4,420,FRY (MN-G)
FRY-3,FRY-5,745,FRY (MN-G)
FRY-3,FRY-6,1030,FRY (MN-G)
FRY-3,FRY-7,1345,FRY (MN-G)
FRY-3,FRY-8,1480,FRY (MN-G)
FRY-4,FRY-3,420,FRY (MN-G)
FRY-4,FRY-4,0,FRY (MN-G)
FRY-4,FRY-5,325,FRY (MN-G)
FRY-4,FRY-6,610,FRY (MN-G)
FRY-4,FRY-7,925,FRY (MN-G)
FRY-4,FRY-8,1060,FRY (MN-G)
FRY-5,FRY-4,325,FRY (MN-G)
FRY-5,FRY-5,0,FRY (MN-G)
FRY-5,FRY-6,285,FRY (MN-G)
FRY-5,FRY-7,600,FRY (MN-G)
FRY-5,FRY-8,735,FRY (MN-G)
FRY-6,FRY-5,285,FRY (MN-G)
FRY-6,FRY-6,0,FRY (MN-G)
FRY-6,FRY-7,315,FRY (MN-G)
FRY-6,FRY-8,450,FRY (MN-G)
FRY-7,FRY-6,315,FRY (MN-G)
FRY-7,FRY-7,0,FRY (MN-G)
FRY-7,FRY-8,135,FRY (MN-G)
FRY-8,FRY-7,135,FRY (MN-G)
FRY-8,FRY-8,0,FRY (MN-G)
LLW-1,LLW-1,0,LLW (MG)
LLW-1,LLW-2,550,LLW (MG)
LLW-1,LLW-3,810,LLW (MG)
LLW-1,LLW-4,1310,LLW (MG)
LLW-1,LLW-5,1560,LLW (MG)
LLW-1,LLW-6,1950,LLW (MG)
LLW-2,LLW-1,550,LLW (MG)
LLW-2,LLW-2,0,LLW (MG)
LLW-2,LLW-3,260,LLW (MG)
LLW-2,LLW-4,760,LLW (MG)
LLW-2,LLW-5,1010,LLW (MG)
LLW-2,LLW-6,1400,LLW (MG)
LLW-3,LLW-2,260,LLW (MG)
LLW-3,LLW-3,0,LLW (MG)
LLW-3,LLW-4,500,LLW (MG)
LLW-3,LLW-5,750,LLW (MG)
LLW-3,LLW-6,1140,LLW (MG)
LLW-4,LLW-3,500,LLW (MG)
LLW-4,LLW-4,0,LLW (MG)
LLW-4,LLW-5,250,LLW (MG)
LLW-4,LLW-6,640,LLW (MG)
LLW-5,LLW-4,250,LLW (MG)
LLW-5,LLW-5,0,LLW (MG)
LLW-5,LLW-6,390,LLW (MG)
LLW-6,LLW-5,390,LLW (MG)
LLW-6,LLW-6,0,LLW (MG)
ROL-1,ROL-1,0,ROL (MG)
ROL-1,ROL-2,137,ROL (MG)
ROL-1,ROL-3,335,ROL (MG)
ROL-1,ROL-4,730,ROL (MG)
ROL-1,ROL-5,1040,ROL (MG)
ROL-1,ROL-6,1290,ROL (MG)
ROL-2,ROL-1,137,ROL (MG)
ROL-2,ROL-2,0,ROL (MG)
ROL-2,ROL-3,198,ROL (MG)
ROL-2,ROL-4,593,ROL (MG)
ROL-2,ROL-5,903,ROL (MG)
ROL-2,ROL-6,1153,ROL (MG)
ROL-3,ROL-2,198,ROL (MG)
ROL-3,ROL-3,0,ROL (MG)
ROL-3,ROL-4,395,ROL (MG)
ROL-3,ROL-5,310,ROL (MG)
ROL-3,ROL-6,955,ROL (MG)
ROL-4,ROL-3,395,ROL (MG)
ROL-4,ROL-4,0,ROL (MG)
ROL-4,ROL-5,325,ROL (MG)
ROL-4,ROL-6,560,ROL (MG)
ROL-5,ROL-4,310,ROL (MG)
ROL-5,ROL-5,0,ROL (MG)
ROL-5,ROL-6,250,ROL (MG)
ROL-6,ROL-5,250,ROL (MG)
ROL-6,ROL-6,0,ROL (MG)
SPC-1,SPC-1,0,SPC (MG)
SPC-1,SPC-2,397,SPC (MG)
SPC-1,SPC-3,794,SPC (MG)
SPC-1,SPC-4,1280,SPC (MG)
SPC-1,SPC-5,1635,SPC (MG)
SPC-1,SPC-7,2410,SPC (MG)
SPC-1,SPC-8,2550,SPC (MG)
SPC-2,SPC-1,397,SPC (MG)
SPC-2,SPC-2,0,SPC (MG)
SPC-2,SPC-3,397,SPC (MG)
SPC-2,SPC-4,883,SPC (MG)
SPC-2,SPC-5,1238,SPC (MG)
SPC-2,SPC-7,2013,SPC (MG)
SPC-2,SPC-8,2153,SPC (MG)
SPC-3,SPC-2,397,SPC (MG)
SPC-3,SPC-3,0,SPC (MG)
SPC-3,SPC-4,486,SPC (MG)
SPC-3,SPC-5,841,SPC (MG)
SPC-3,SPC-7,1616,SPC (MG)
SPC-3,SPC-8,1756,SPC (MG)
SPC-4,SPC-3,486,SPC (MG)
SPC-4,SPC-4,0,SPC (MG)
SPC-4,SPC-5,355,SPC (MG)
SPC-4,SPC-7,1130,SPC (MG)
SPC-4,SPC-8,1270,SPC (MG)
SPC-5,SPC-4,355,SPC (MG)
SPC-5,SPC-5,0,SPC (MG)
SPC-5,SPC-7,775,SPC (MG)
SPC-5,SPC-8,915,SPC (MG)
SPC-7,SPC-5,775,SPC (MG)
SPC-7,SPC-7,0,SPC (MG)
SPC-7,SPC-8,140,SPC (MG)
SPC-8,SPC-7,140,SPC (MG)
SPC-8,SPC-8,0,SPC (MG)
