Stream,Stream_Type,dist.d,Site,Season,totind,Hshannon,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,rich.INT,rich.TOL,pTOL
SPC,Mining Influenced 4,2167,SPC2,Fall,219,2.942515995,0.921040012,31,0.856880303,5,6,8,5,5,26,19,5,18.26484018,16,44.74885845,70.77625571,49.7716895,42.00913242,14,17.4,4,15.1,9.1,8.7,9.1,4.1,3.7,44.3,27.4,6.8,11.4,0.5,7.305936073,18.3,31.5,61.6,6,4,8,5,6,7,11,10.5,30.6,16.4,33.8,14.2,22,83.1,3,9.6,5,5,1,2.3,17,0,0
SPC,Mining Influenced 4,1793,SPC3,Fall,198,2.795458202,0.906029997,31,0.814056091,6,5,9,4,5,25,20,6,16.16161616,17,38.88888889,74.74747475,60.1010101,35.35353535,14,12.1,4,9.6,10.6,9.6,10.6,5.1,4,52,26.8,1.5,12.6,1,2.525252525,20.2,34.8,68.2,6,5,8,5,6,6,19.7,6.1,19.2,10.6,37.9,17.2,21,80.8,4,12.6,4,4,2,2.5,17,0,0
SPC,Mining Influenced 4,1294,SPC4,Fall,228,2.697437358,0.880193906,32,0.7783159,5,5,9,6,4,27,19,6,9.210526316,16,37.71929825,78.07017544,49.12280702,34.21052632,14,16.2,4,13.2,12.3,11.8,12.3,2.6,2.2,49.6,21.5,6.1,7.5,1.3,7.456140351,17.5,30.3,59.2,6,5,10,7,6,5,12.7,11.8,23.2,10.5,45.6,6.6,21,85.1,4,8.3,6,3.5,1,3.1,18,0,0
SPC,Mining Influenced 4,925,SPC5,Fall,207,2.976408369,0.932810567,32,0.858809919,5,8,9,3,6,27,22,5,17.39130435,18,50.24154589,79.22705314,64.73429952,38.647343,17,19.8,3,9.2,13,12.1,13,5.3,4.3,46.4,30.4,6.3,10.1,0,6.280193237,19.3,33.3,65.2,5,4,6,3,8,9,12.1,17.4,17.9,8.7,39.1,13.5,22,76.3,3,10.1,4,2.4,3,11.1,20,2,0.96618
SPC,Mining Influenced 4,150,SPC7,Fall,205,2.858426935,0.911029149,32,0.824767673,5,4,9,5,5,27,18,5,16.58536585,14,36.58536585,72.19512195,50.24390244,32.19512195,13,8.8,3,7.3,11.2,8.3,11.2,3.9,1,52.2,27.8,5.4,9.8,0.5,5.853658537,19.5,33.7,65.9,3,5,7,5,7,10,11.7,7.8,21.5,14.6,45.9,13.2,23,86.3,6,10.7,1,1.5,2,1.5,15,0,0
SPC,Mining Influenced 4,0,SPC8,Fall,189,2.828832265,0.898407099,34,0.802195988,6,5,10,4,7,28,21,7,8.465608466,18,43.38624339,72.48677249,52.91005291,40.21164021,15,7.4,4,6.3,27.5,25.4,27.5,6.9,4.8,37.6,36,5.8,13.2,1.6,7.407407407,21.2,36.5,71.4,4,6,9,6,7,8,27.5,10.6,19.6,14.8,33.9,8.5,22,82,5,12.7,3,3.2,4,2.1,20,1,1.0582
CRO,Reference 1,2050,CRO1,Spring,210,3.014653261,0.926984127,38,0.828751026,12,8,4,4,7,26,24,3,3.80952381,23,52.85714286,60,60,48.0952381,12,35.7,8,32.4,13.3,11.9,10.5,11.9,7.6,11,17.1,17.1,25.7,2.9,20,19,32.9,64.3,6,7,11,6,2,10,7.6,35.2,27.6,15.2,7.6,20,21,58.1,7,28.1,3,3.8,6,9,22,0,0
CRO,Reference 1,1900,CRO2,Spring,204,3.028611234,0.908064206,39,0.826684939,8,9,6,5,8,31,23,5,5.392156863,22,46.56862745,53.92156863,53.92156863,40.68627451,15,26.5,7,24.5,14.7,10.8,12.7,13.7,7.8,12.7,20.1,25.5,33.8,3.9,29.41176471,19.6,33.8,66.2,9,6,9,6,3,10,13.2,38.2,19.6,8.3,8.8,17.2,24,53.4,8,36.8,3,3.4,3,5.4,19,1,0.4902
CRO,Reference 1,1530,CRO3,Spring,194,3.022319818,0.919119991,36,0.843394404,9,9,5,5,6,27,23,3,7.216494845,21,47.42268041,51.03092784,51.03092784,40.72164948,14,20.6,7,18,19.6,15.5,16,15.5,7.7,10.8,26.8,21.6,36.6,0.5,22.16494845,20.6,35.6,69.6,5,6,11,6,3,10,13.4,26.8,26.3,12.4,4.1,24.2,24,54.6,6,35.1,2,6.2,4,4.1,22,0,0
CRO,Reference 1,1160,CRO4,Spring,211,3.246097958,0.948002066,39,0.886049771,9,9,6,5,9,30,24,4,10.42654028,22,62.55924171,68.72037915,68.72037915,55.92417062,15,30.3,7,26.1,21.8,19.4,15.6,19.9,11.4,16.6,32.2,11.8,21.8,0.5,12.32227488,19,32.7,64,8,6,10,6,4,10,15.6,26.5,23.7,11.8,8.1,18.5,25,61.1,7,19,2,7.6,5,12.3,23,1,1.4218
CRO,Reference 1,775,CRO5,Spring,214,3.077490858,0.915582147,42,0.823371558,12,7,4,4,11,30,23,4,8.878504673,23,58.41121495,58.41121495,58.41121495,51.40186916,11,35.5,10,31.8,14,10.7,9.8,13.1,5.6,8.9,22.9,20.1,30.8,1.9,21.96261682,18.7,32.2,63.1,5,7,12,5,2,14,9.3,32.7,32.7,9.8,2.3,17.8,24,41.6,10,30.4,3,5.6,4,22,23,1,1.40187
CRO,Reference 1,340,CRO6,Spring,222,2.852441144,0.899237075,37,0.789949041,9,9,1,2,11,28,19,1,5.405405405,19,57.20720721,57.20720721,57.20720721,51.8018018,10,28.4,7,24.8,23.4,21.6,16.7,19.8,11.3,5.4,28.8,24.8,35.1,1.8,26.57657658,18,31.1,60.8,6,7,6,2,1,15,15.8,40.5,23,8.6,0.5,14.4,17,38.7,11,36.5,4,9.5,4,14.9,19,3,2.25225
CRO,Reference 1,0,CRO7,Spring,232,2.991073681,0.932149227,33,0.855446078,10,7,4,3,8,23,21,3,4.74137931,20,74.56896552,75.43103448,75.43103448,54.74137931,11,35.8,7,24.6,34.1,25.4,29.7,31.5,18.5,5.6,38.8,15.1,18.5,0.9,15.94827586,17.2,29.7,58.2,7,7,9,4,2,7,22.4,39.2,23.3,10.8,1.3,10.8,19,56,6,18.1,3,5.2,5,20.7,19,1,0.43103
EAS,Reference 2,2500,EAS1,Spring,200,2.606041172,0.8934,27,0.790706967,8,5,4,3,5,19,17,3,2,16,57.5,64.5,64.5,44.5,9,25.5,6,24,30,18.5,21,29.5,9,9,32,23,26,2.5,25.5,20,34.5,67.5,4,5,8,3,4,6,29,32.5,24.5,6.5,8.5,5.5,18,60.5,6,28.5,1,9,2,2,17,2,1
EAS,Reference 2,2140,EAS2,Spring,186,2.850654911,0.908891201,31,0.830129742,8,8,6,3,5,23,22,3,2.688172043,19,63.97849462,70.43010753,69.89247312,56.98924731,14,40.9,7,39.8,20.4,14.5,18.3,20.4,12.4,9.1,23.1,14,17.2,1.1,15.05376344,21.5,37.1,72.6,6,5,10,6,4,6,16.1,24.7,42.5,15.1,7,9.7,22,75.8,4,16.7,2,3.2,3,4.3,19,1,0.53763
EAS,Reference 2,1890,EAS3,Spring,213,2.829962938,0.916308493,28,0.849276486,9,6,4,3,5,19,19,2,1.877934272,17,56.33802817,62.44131455,62.44131455,50.23474178,10,41.8,7,39,12.7,9.4,10.8,12.7,7.5,8,14.6,17.8,21.1,0.5,18.30985915,18.8,32.4,63.4,4,7,8,5,4,5,7,32.4,43.2,19.2,8.5,8.9,17,70,4,19.7,2,2.3,5,8,18,0,0
EAS,Reference 2,1565,EAS4,Spring,211,2.974668384,0.927876732,32,0.858307865,10,9,6,3,3,22,25,4,3.317535545,23,68.2464455,72.98578199,72.98578199,58.29383886,15,40.3,8,35.1,24.6,19.9,20.9,24.2,15.6,8.1,28,16.6,17.5,0.9,17.53554502,19,32.7,64,7,7,9,5,3,6,19.9,37.9,29.9,10.4,5.7,6.6,24,68.7,2,17.5,2,4.3,4,9.5,22,0,0
EAS,Reference 2,1240,EAS5,Spring,209,2.800307043,0.915867311,27,0.849649772,8,10,3,2,3,19,21,2,1.913875598,20,64.11483254,72.72727273,72.72727273,49.76076555,13,37.3,6,30.6,24.9,17.2,20.6,22.5,10.5,10.5,26.8,18.7,21.1,0.5,19.13875598,19.1,33,64.6,6,7,6,3,2,6,21.5,38.3,24.4,6.2,9.6,6.2,18,61.7,4,21.5,1,4.3,4,12.4,21,0,0
EAS,Reference 2,1000,EAS6,Spring,203,2.969439881,0.926302507,33,0.849258818,9,9,5,4,4,24,23,3,1.97044335,21,60.09852217,67.98029557,67.98029557,45.81280788,14,35,7,29.1,23.2,14.8,21.7,21.7,11.8,9.9,25.1,17.7,19.7,0.5,18.22660099,19.7,34,66.5,6,7,10,6,3,6,20.2,35.5,30.5,12.8,8.4,4.9,22,64,4,20.2,2,2.5,4,12.8,20,0,0
EAS,Reference 2,715,EAS7,Spring,208,3.00914166,0.935882027,32,0.86825475,7,8,6,4,5,25,21,3,3.846153846,18,61.53846154,70.19230769,69.71153846,46.15384615,14,15.9,4,10.6,41.8,31.7,37.5,40.9,26.4,12.5,45.7,11.1,13.9,1.9,12.98076923,19.2,33.2,64.9,5,7,8,6,4,7,34.6,22.1,24,17.3,9.1,9.6,20,70.7,5,15.9,2,4.8,4,8.2,18,0,0
EAS,Reference 2,385,EAS8,Spring,201,2.924784187,0.926016683,30,0.859927801,7,8,3,4,6,23,18,1,0.497512438,16,59.70149254,70.64676617,70.64676617,37.31343284,11,19.9,5,12.9,39.3,23.9,35.8,36.3,17.4,11.4,39.8,12.9,17.9,1.5,14.4278607,19.9,34.3,67.2,7,7,9,5,2,5,36.8,26.9,18.9,10.4,10.9,6,17,67.7,6,18.9,4,5.5,2,7,16,0,0
EAS,Reference 2,0,EAS9,Spring,204,2.457055421,0.872933487,27,0.745502742,7,7,4,2,5,20,18,4,1.960784314,18,72.54901961,72.54901961,72.54901961,48.52941176,11,6.9,6,5.4,63.7,41.2,52.5,59.8,26,2,65.7,18.6,21.1,1.5,20.09803922,19.6,33.8,66.2,7,6,7,4,1,5,59.8,24.5,7.4,4.9,0.5,6.9,16,62.3,5,22.1,2,11.8,3,2.9,16,0,0
