Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3
LLW (MI),LLW3,2021,Fall,9,8.14,13.6,1307,1025,152.2,876.1,0.32,0.005,0.005,0.21,0.005,1.19,1.07,628.89,0,185.71,12.8,115.39,6.72,161.18,25.51,6.61,0.19,0.04,0.18,0.285,1.72,0.16,1.47,0.55,21.87,0.03,5.04,3018.87,0.001,0.001,0.01,0.01,67.55,0.002,1.8,1.396828148,3.386408917
LLW (MI),LLW4,2021,Fall,9.2,7.97,14.5,1323,1059,156.2,882.5,0.32,0.01,0.005,0.29,0.005,1.1,1.19,640,0,190.61,12.92,116.44,6.84,162.05,27.95,6.35,0.19,0.02,0.17,0.285,1.45,0.16,1.88,0.52,16.51,0.001,4.34,3061.78,0.001,0.001,0.01,0.01,61.8,0.002,1.76,1.391703882,3.357641257
LLW (MI),LLW5,2021,Fall,8.9,8.03,15,1501,1217,196.1,1057.2,0.41,0.005,0.005,0.18,0.005,1.34,1.45,783.6,0,239.24,12.92,147.88,9.1,180.37,10.28,4.93,0.18,0.04,0.23,0.285,1.39,0.17,1.18,0.69,15.2,0.01,2.81,2782.99,0.001,0.001,0.005,0.01,61.92,0.002,2.71,1.219705166,3.275372011
LLW (MI),LLW6,2021,Fall,8.6,7.97,15.6,1880,1543,300.1,1395,0.35,0.005,0.01,0.17,0.005,1.42,1.69,909.22,0,366.1,13.89,197.04,12.2,234.85,14.76,2.04,0.16,-0.02,0.19,0.285,12.25,0.26,2.22,0.93,16.24,0.01,2.25,3346.91,0.001,0.001,0.005,0.01,37.05,0.002,4.42,1.191889972,2.48352909
ROL (MI),ROL1,2021,Fall,,6.65,11.9,501,377,110.7,216.1,0.27,0.01,0.01,0.14,0.005,1.2,1.01,158.48,0,135.03,21.66,22.23,2.24,50,11.54,2.58,0.41,0.04,0.12,0.285,2.79,0.06,0.36,0.13,4.22,0.03,0.075,711.17,0.001,0.001,0.01,0.01,49.62,0.01,0.25,2.249212776,1.173665111
ROL (MI),ROL2,2021,Fall,7.6,7.74,12.8,633,487,96.5,301.1,0.33,0.02,0.005,0.18,0.01,0.02,1.25,245.33,0,117.68,17.57,33.06,2.66,66.2,5.39,3.29,0.35,0.03,0.1,0.285,1.56,0.08,1.68,0.23,4.75,0.02,0.075,633.29,0.001,0.001,0.01,0.01,50.44,0.002,0.37,2.002419843,2.084721278
ROL (MI),ROL3,2021,Fall,7.1,7.83,13.5,804,629,99,400,0.34,0.02,0.005,0.15,0.005,1.6,1.59,336.59,0,120.73,17.73,44.73,3.09,86.66,4.85,3.22,0.28,0.01,0.12,0.285,3.67,0.1,0.66,0.3,4.48,0.01,0.075,746.12,0.001,0.001,0.01,0.01,54.39,0.002,0.49,1.937402191,2.787956597
ROL (MI),ROL4,2021,Fall,7.4,7.84,13.3,886,689,98.4,493.9,0.38,0.01,0.005,0.23,0.01,1.44,1.88,428.79,0,120.05,19.87,55.76,3.52,106.1,6.44,3.34,0.31,0.04,0.13,0.285,1.14,0.11,0.81,0.39,3.92,0.07,0.075,870.91,0.001,0.001,0.01,0.01,57.6,0.002,0.69,1.902797704,3.571761766
ROL (MI),ROL5,2021,Fall,7.8,7.93,14.1,1029,817,103.1,551.2,0.34,0.01,0.01,0.21,0.01,1.28,2.05,476.95,0,125.78,20.72,62.32,3.79,118.26,8.81,3.34,0.33,0.05,0.11,0.285,1.43,0.12,0.9,0.4,3.55,0.05,0.075,963.06,0.001,0.001,0.01,0.01,53.34,0.002,0.67,1.89762516,3.791938305
ROL (MI),ROL6,2021,Fall,6.4,7.96,13.7,1298,1019,110.6,788.7,0.59,0.03,0.005,0.35,0.01,1.49,3.83,649.6,0,134.98,10.2,94.36,4.93,160.71,3.62,3.71,0.25,0.07,0.18,23.46,25.5,0.19,1.33,0.67,4.33,0.13,0.075,837.5,0.001,0.001,0.01,0.01,52.8,0.002,1.39,1.703158118,4.812564824
