START,END,Season,Stream,SIM,dis.simm
FRY3,FRY6,Spring,FRY (MI),0.898782555,1140
FRY3,FRY7,Spring,FRY (MI),0.87489829,1480
FRY3,FRY8,Spring,FRY (MI),0.871990507,1810
FRY3,FRY9,Spring,FRY (MI),0.788246856,2170
FRY4,FRY3,Spring,FRY (MI),0.900607734,325
FRY4,FRY5,Spring,FRY (MI),0.922557531,365
FRY4,FRY6,Spring,FRY (MI),0.936250021,815
FRY4,FRY7,Spring,FRY (MI),0.846826184,1155
FRY4,FRY8,Spring,FRY (MI),0.83165543,1485
FRY4,FRY9,Spring,FRY (MI),0.73745115,1845
FRY5,FRY4,Spring,FRY (MI),0.922557531,365
FRY5,FRY6,Spring,FRY (MI),0.922021128,450
FRY5,FRY7,Spring,FRY (MI),0.874184392,790
FRY5,FRY8,Spring,FRY (MI),0.870927547,1120
FRY5,FRY9,Spring,FRY (MI),0.79423465,1480
FRY6,FRY5,Spring,FRY (MI),0.922021128,450
FRY6,FRY7,Spring,FRY (MI),0.873953919,340
FRY6,FRY8,Spring,FRY (MI),0.879313011,670
FRY6,FRY9,Spring,FRY (MI),0.79515395,1030
FRY7,FRY6,Spring,FRY (MI),0.873953919,340
FRY7,FRY8,Spring,FRY (MI),0.888899846,330
FRY7,FRY9,Spring,FRY (MI),0.813293917,690
FRY8,FRY7,Spring,FRY (MI),0.888899846,330
FRY8,FRY9,Spring,FRY (MI),0.884666121,360
FRY9,FRY8,Spring,FRY (MI),0.884666121,360
LLW1,LLW2,Spring,LLW (MI),0.906604674,550
LLW1,LLW3,Spring,LLW (MI),0.892772863,810
LLW1,LLW4,Spring,LLW (MI),0.908757845,1310
LLW1,LLW5,Spring,LLW (MI),0.854100375,1560
LLW1,LLW6,Spring,LLW (MI),0.780180039,1950
LLW2,LLW1,Spring,LLW (MI),0.906604674,550
LLW2,LLW3,Spring,LLW (MI),0.887942445,260
LLW2,LLW4,Spring,LLW (MI),0.839243823,760
LLW2,LLW5,Spring,LLW (MI),0.79970234,1010
LLW2,LLW6,Spring,LLW (MI),0.79719363,1400
LLW3,LLW2,Spring,LLW (MI),0.887942445,260
LLW3,LLW4,Spring,LLW (MI),0.888209732,500
LLW3,LLW5,Spring,LLW (MI),0.840250268,750
LLW3,LLW6,Spring,LLW (MI),0.827832092,1140
LLW4,LLW3,Spring,LLW (MI),0.888209732,500
LLW4,LLW5,Spring,LLW (MI),0.922079838,250
LLW4,LLW6,Spring,LLW (MI),0.780975522,640
LLW5,LLW4,Spring,LLW (MI),0.922079838,250
LLW5,LLW6,Spring,LLW (MI),0.804851028,390
LLW6,LLW5,Spring,LLW (MI),0.804851028,390
ROL1,ROL2,Spring,ROL (MI),0.944301763,140
ROL1,ROL3,Spring,ROL (MI),0.924378515,340
ROL1,ROL4,Spring,ROL (MI),0.830528169,735
ROL1,ROL5,Spring,ROL (MI),0.830358443,1045
ROL1,ROL6,Spring,ROL (MI),0.888023566,1295
ROL1,ROL7,Spring,ROL (MI),0.886513921,1500
ROL2,ROL1,Spring,ROL (MI),0.944301763,140
ROL2,ROL3,Spring,ROL (MI),0.919129537,200
ROL2,ROL4,Spring,ROL (MI),0.795904468,595
ROL2,ROL5,Spring,ROL (MI),0.796547054,905
ROL2,ROL6,Spring,ROL (MI),0.872091579,1155
ROL2,ROL7,Spring,ROL (MI),0.88216953,1360
ROL3,ROL2,Spring,ROL (MI),0.919129537,200
ROL3,ROL4,Spring,ROL (MI),0.830296487,395
ROL3,ROL5,Spring,ROL (MI),0.836300443,705
ROL3,ROL6,Spring,ROL (MI),0.907745163,955
ROL3,ROL7,Spring,ROL (MI),0.911586784,1160
ROL4,ROL3,Spring,ROL (MI),0.830296487,395
ROL4,ROL5,Spring,ROL (MI),0.892867552,310
ROL4,ROL6,Spring,ROL (MI),0.838458106,560
ROL4,ROL7,Spring,ROL (MI),0.820032527,765
ROL5,ROL4,Spring,ROL (MI),0.892867552,310
ROL5,ROL6,Spring,ROL (MI),0.892424598,250
ROL5,ROL7,Spring,ROL (MI),0.865030022,455
ROL6,ROL5,Spring,ROL (MI),0.892424598,250
ROL6,ROL7,Spring,ROL (MI),0.961126344,205
ROL7,ROL6,Spring,ROL (MI),0.961126344,205
SPC1,SPC2,Spring,SPC (MI),0.877285807,389
SPC1,SPC3,Spring,SPC (MI),0.886719229,763
SPC1,SPC4,Spring,SPC (MI),0.896885635,1262
SPC1,SPC5,Spring,SPC (MI),0.8376683,1631
SPC1,SPC6,Spring,SPC (MI),0.789142946,2031
SPC1,SPC7,Spring,SPC (MI),0.814420529,2406
SPC1,SPC8,Spring,SPC (MI),0.76924673,2556
SPC2,SPC1,Spring,SPC (MI),0.877285807,389
SPC2,SPC3,Spring,SPC (MI),0.802029324,374
SPC2,SPC4,Spring,SPC (MI),0.815540978,873
SPC2,SPC5,Spring,SPC (MI),0.729568444,1242
SPC2,SPC6,Spring,SPC (MI),0.685608623,1642
SPC2,SPC7,Spring,SPC (MI),0.741562414,2017
SPC2,SPC8,Spring,SPC (MI),0.689355122,2167
SPC3,SPC2,Spring,SPC (MI),0.802029324,374
SPC3,SPC4,Spring,SPC (MI),0.927966867,499
SPC3,SPC5,Spring,SPC (MI),0.922048437,868
SPC3,SPC6,Spring,SPC (MI),0.869176674,1268
SPC3,SPC7,Spring,SPC (MI),0.845563424,1643
SPC3,SPC8,Spring,SPC (MI),0.85999303,1793
SPC4,SPC3,Spring,SPC (MI),0.927966867,499
SPC4,SPC5,Spring,SPC (MI),0.878376697,868
SPC4,SPC6,Spring,SPC (MI),0.840771905,769
SPC4,SPC7,Spring,SPC (MI),0.855799243,1144
SPC4,SPC8,Spring,SPC (MI),0.847083695,1294
SPC5,SPC4,Spring,SPC (MI),0.878376697,868
SPC5,SPC6,Spring,SPC (MI),0.931527542,400
SPC5,SPC7,Spring,SPC (MI),0.869388679,775
SPC5,SPC8,Spring,SPC (MI),0.899320256,925
SPC6,SPC5,Spring,SPC (MI),0.931527542,400
SPC6,SPC7,Spring,SPC (MI),0.870830766,375
SPC6,SPC8,Spring,SPC (MI),0.930976754,525
SPC7,SPC6,Spring,SPC (MI),0.870830766,375
SPC7,SPC8,Spring,SPC (MI),0.868217008,150
SPC8,SPC7,Spring,SPC (MI),0.868217008,150
